 All cumulative fluxes (CumQ) are positive out of the region

       Time        CumQAP       CumQRP       CumQA        CumQR       CumQ3        hAtm       hRoot     hKode3    A-level
      [T]           [V]          [V]         [V]          [V]          [V]          [L]        [L]        [L] 

        1.0000  0.00000E+00  0.58529E+01  0.00000E+00  0.58529E+01 -0.12138E+02    -1009.2     -997.0     -242.4       1
        2.0000  0.00000E+00  0.81941E+01  0.00000E+00  0.81941E+01 -0.24277E+02    -1005.4     -989.8     -233.2       2
        3.0000  0.00000E+00  0.11706E+02  0.00000E+00  0.11706E+02 -0.36415E+02     -996.3     -983.1     -229.8       3
        4.0000  0.00000E+00  0.15218E+02  0.00000E+00  0.15218E+02 -0.48553E+02     -984.5     -976.2     -227.8       4
        5.0000  0.00000E+00  0.18729E+02  0.00000E+00  0.18729E+02 -0.72830E+02     -969.4     -963.2     -149.8       5
        6.0000  0.00000E+00  0.23412E+02  0.00000E+00  0.23406E+02 -0.65547E+03     -698.9     -756.2       -9.8       6
        7.0000  0.00000E+00  0.40970E+02  0.00000E+00  0.40931E+02 -0.12381E+04     -341.5     -545.0       -9.3       7
        8.0000  0.00000E+00  0.77259E+02  0.00000E+00  0.77137E+02 -0.18207E+04     -158.3     -399.7       -9.0       8
        9.0000  0.00000E+00  0.12876E+03  0.00000E+00  0.12854E+03 -0.24034E+04     -104.4     -303.5       -8.5       9
       10.0000  0.00000E+00  0.19549E+03  0.00000E+00  0.19526E+03 -0.24034E+04     -134.9     -285.2     -144.9      10
       11.0000  0.00000E+00  0.27392E+03  0.00000E+00  0.27369E+03 -0.24034E+04     -165.1     -298.2     -186.0      11
       12.0000  0.00000E+00  0.36054E+03  0.00000E+00  0.36031E+03 -0.24034E+04     -195.6     -320.7     -229.6      12
       13.0000  0.00000E+00  0.44716E+03  0.00000E+00  0.44694E+03 -0.24034E+04     -228.5     -346.7     -276.1      13
       14.0000  0.00000E+00  0.53262E+03  0.00000E+00  0.53239E+03 -0.24034E+04     -263.1     -374.6     -328.3      14
       15.0000  0.00000E+00  0.60051E+03  0.00000E+00  0.60028E+03 -0.24034E+04     -294.1     -399.9     -368.3      15
       16.0000  0.00000E+00  0.63212E+03  0.00000E+00  0.63189E+03 -0.24034E+04     -314.4     -417.0     -372.1      16
       17.0000  0.00000E+00  0.66372E+03  0.00000E+00  0.66349E+03 -0.24034E+04     -333.0     -433.1     -387.2      17
       18.0000  0.00000E+00  0.69650E+03  0.00000E+00  0.69627E+03 -0.24034E+04     -352.3     -449.3     -407.5      18
       19.0000  0.00000E+00  0.71523E+03  0.00000E+00  0.71500E+03 -0.24034E+04     -366.5     -461.6     -413.4      19
       20.0000  0.00000E+00  0.72693E+03  0.00000E+00  0.72671E+03 -0.24034E+04     -377.5     -471.8     -416.6      20
       21.0000  0.00000E+00  0.73981E+03  0.00000E+00  0.73958E+03 -0.24034E+04     -388.8     -481.9     -426.0      21
       22.0000  0.00000E+00  0.74917E+03  0.00000E+00  0.74895E+03 -0.24034E+04     -399.0     -490.8     -432.4      22
       23.0000  0.00000E+00  0.75620E+03  0.00000E+00  0.75597E+03 -0.24034E+04     -408.3     -498.7     -437.9      23
       24.0000  0.00000E+00  0.76439E+03  0.00000E+00  0.76417E+03 -0.24034E+04     -418.2     -506.7     -446.7      24
       25.0000  0.00000E+00  0.76907E+03  0.00000E+00  0.76885E+03 -0.24034E+04     -425.8     -513.4     -451.1      25
       26.0000  0.00000E+00  0.77376E+03  0.00000E+00  0.77353E+03 -0.24034E+04     -433.2     -519.8     -457.0      26
       27.0000  0.00000E+00  0.77610E+03  0.00000E+00  0.77587E+03 -0.24034E+04     -439.6     -525.3     -460.3      27
       28.0000  0.00000E+00  0.77727E+03  0.00000E+00  0.77704E+03 -0.24034E+04     -445.2     -530.3     -463.3      28
       29.0000  0.00000E+00  0.77727E+03  0.00000E+00  0.77704E+03 -0.24034E+04     -450.3     -534.7     -465.7      29
       30.0000  0.00000E+00  0.78078E+03  0.00000E+00  0.78055E+03 -0.24034E+04     -456.5     -540.0     -474.0      30
       31.0000  0.00000E+00  0.79951E+03  0.00000E+00  0.79928E+03 -0.24034E+04     -468.8     -550.0     -505.2      31
       32.0000  0.00000E+00  0.83697E+03  0.00000E+00  0.83674E+03 -0.24034E+04     -490.1     -566.2     -563.3      32
       33.0000  0.00000E+00  0.88964E+03  0.00000E+00  0.88942E+03 -0.24034E+04     -519.4     -588.3     -648.9      33
       34.0000  0.00000E+00  0.96222E+03  0.00000E+00  0.96199E+03 -0.24034E+04     -561.2     -619.3     -789.1      34
       35.0000  0.00000E+00  0.10488E+04  0.00000E+00  0.10484E+04 -0.24034E+04     -616.8     -660.5    -1018.4      35
       36.0000  0.00000E+00  0.11437E+04  0.00000E+00  0.11419E+04 -0.24034E+04     -690.3     -713.7    -1383.1      36
       37.0000  0.00000E+00  0.12373E+04  0.00000E+00  0.12329E+04 -0.24034E+04     -778.8     -774.5    -1824.0      37
