 All cumulative fluxes (CumQ) are positive out of the region

       Time        CumQAP       CumQRP       CumQA        CumQR       CumQ3        hAtm       hRoot     hKode3    A-level
      [T]           [V]          [V]         [V]          [V]          [V]          [L]        [L]        [L] 

        1.0000  0.00000E+00  0.58529E+01  0.00000E+00  0.58529E+01 -0.12138E+02    -1006.7     -997.0     -378.3       1
        2.0000  0.00000E+00  0.81941E+01  0.00000E+00  0.81941E+01 -0.24277E+02    -1000.3     -991.1     -368.0       2
        3.0000  0.00000E+00  0.11706E+02  0.00000E+00  0.11706E+02 -0.36415E+02     -991.4     -985.7     -364.2       3
        4.0000  0.00000E+00  0.15218E+02  0.00000E+00  0.15218E+02 -0.48553E+02     -981.7     -980.3     -361.4       4
        5.0000  0.00000E+00  0.18729E+02  0.00000E+00  0.18729E+02 -0.72830E+02     -967.8     -968.4     -242.3       5
        6.0000  0.00000E+00  0.23412E+02  0.00000E+00  0.23412E+02 -0.65547E+03     -711.8     -777.8      -23.7       6
        7.0000  0.00000E+00  0.40970E+02  0.00000E+00  0.40963E+02 -0.12381E+04     -400.4     -596.2      -22.4       7
        8.0000  0.00000E+00  0.77259E+02  0.00000E+00  0.77213E+02 -0.18207E+04     -230.9     -467.1      -21.6       8
        9.0000  0.00000E+00  0.12876E+03  0.00000E+00  0.12869E+03 -0.24034E+04     -159.6     -377.1      -20.4       9
       10.0000  0.00000E+00  0.19549E+03  0.00000E+00  0.19540E+03 -0.24034E+04     -176.2     -353.1     -176.7      10
       11.0000  0.00000E+00  0.27392E+03  0.00000E+00  0.27382E+03 -0.24034E+04     -196.9     -350.6     -204.2      11
       12.0000  0.00000E+00  0.36054E+03  0.00000E+00  0.36045E+03 -0.24034E+04     -219.7     -359.8     -232.2      12
       13.0000  0.00000E+00  0.44716E+03  0.00000E+00  0.44707E+03 -0.24034E+04     -242.7     -374.4     -261.8      13
       14.0000  0.00000E+00  0.53262E+03  0.00000E+00  0.53252E+03 -0.24034E+04     -267.3     -392.3     -291.1      14
       15.0000  0.00000E+00  0.60051E+03  0.00000E+00  0.60042E+03 -0.24034E+04     -289.2     -409.1     -314.1      15
       16.0000  0.00000E+00  0.63212E+03  0.00000E+00  0.63202E+03 -0.24034E+04     -304.4     -419.3     -320.5      16
       17.0000  0.00000E+00  0.66372E+03  0.00000E+00  0.66363E+03 -0.24034E+04     -318.3     -430.1     -332.8      17
