 All cumulative fluxes (CumQ) are positive out of the region

       Time        CumQAP       CumQRP       CumQA        CumQR       CumQ3        hAtm       hRoot     hKode3    A-level
      [T]           [V]          [V]         [V]          [V]          [V]          [L]        [L]        [L] 

        1.0000  0.00000E+00  0.58529E+01  0.00000E+00  0.58529E+01 -0.12138E+02    -1007.5     -996.6     -238.8       1
        2.0000  0.00000E+00  0.81941E+01  0.00000E+00  0.81941E+01 -0.24277E+02    -1001.7     -989.9     -227.9       2
        3.0000  0.00000E+00  0.11706E+02  0.00000E+00  0.11706E+02 -0.36415E+02     -992.2     -983.8     -224.7       3
        4.0000  0.00000E+00  0.15218E+02  0.00000E+00  0.15218E+02 -0.48553E+02     -981.4     -977.5     -222.4       4
        5.0000  0.00000E+00  0.18729E+02  0.00000E+00  0.18729E+02 -0.72830E+02     -966.5     -963.6     -124.3       5
        6.0000  0.00000E+00  0.23412E+02  0.00000E+00  0.23400E+02 -0.65547E+03     -630.1     -720.5       -6.6       6
        7.0000  0.00000E+00  0.40971E+02  0.00000E+00  0.40894E+02 -0.12381E+04     -242.2     -491.0       -6.1       7
        8.0000  0.00000E+00  0.77259E+02  0.00000E+00  0.77016E+02 -0.18207E+04     -109.3     -362.5       -5.8       8
        9.0000  0.00000E+00  0.12876E+03  0.00000E+00  0.12827E+03 -0.24034E+04      -73.0     -275.8       -5.2       9
       10.0000  0.00000E+00  0.19549E+03  0.00000E+00  0.19499E+03 -0.24034E+04      -94.1     -245.4      -92.8      10
       11.0000  0.00000E+00  0.27392E+03  0.00000E+00  0.27342E+03 -0.24034E+04     -112.1     -244.9     -115.5      11
       12.0000  0.00000E+00  0.36054E+03  0.00000E+00  0.36004E+03 -0.24034E+04     -129.0     -255.5     -138.8      12
       13.0000  0.00000E+00  0.44716E+03  0.00000E+00  0.44667E+03 -0.24034E+04     -148.2     -271.1     -166.8      13
       14.0000  0.00000E+00  0.53262E+03  0.00000E+00  0.53212E+03 -0.24034E+04     -170.4     -291.0     -200.2      14
       15.0000  0.00000E+00  0.60051E+03  0.00000E+00  0.60001E+03 -0.24034E+04     -193.1     -311.1     -226.5      15
       16.0000  0.00000E+00  0.63212E+03  0.00000E+00  0.63162E+03 -0.24034E+04     -208.6     -325.4     -231.7      16
       17.0000  0.00000E+00  0.66372E+03  0.00000E+00  0.66322E+03 -0.24034E+04     -223.7     -339.7     -246.0      17
       18.0000  0.00000E+00  0.69650E+03  0.00000E+00  0.69600E+03 -0.24034E+04     -239.3     -353.5     -263.7      18
       19.0000  0.00000E+00  0.71523E+03  0.00000E+00  0.71473E+03 -0.24034E+04     -251.9     -364.6     -270.3      19
       20.0000  0.00000E+00  0.72693E+03  0.00000E+00  0.72644E+03 -0.24034E+04     -261.3     -374.0     -275.7      20
       21.0000  0.00000E+00  0.73981E+03  0.00000E+00  0.73931E+03 -0.24034E+04     -271.3     -383.6     -285.9      21
       22.0000  0.00000E+00  0.74917E+03  0.00000E+00  0.74868E+03 -0.24034E+04     -280.8     -392.3     -294.0      22
       23.0000  0.00000E+00  0.75620E+03  0.00000E+00  0.75570E+03 -0.24034E+04     -290.4     -400.1     -301.0      23
       24.0000  0.00000E+00  0.76439E+03  0.00000E+00  0.76390E+03 -0.24034E+04     -299.3     -408.2     -310.1      24
       25.0000  0.00000E+00  0.76907E+03  0.00000E+00  0.76858E+03 -0.24034E+04     -306.7     -415.2     -315.8      25
       26.0000  0.00000E+00  0.77376E+03  0.00000E+00  0.77326E+03 -0.24034E+04     -314.2     -422.0     -322.9      26
       27.0000  0.00000E+00  0.77610E+03  0.00000E+00  0.77560E+03 -0.24034E+04     -320.8     -428.1     -328.0      27
       28.0000  0.00000E+00  0.77727E+03  0.00000E+00  0.77677E+03 -0.24034E+04     -327.0     -433.7     -332.9      28
       29.0000  0.00000E+00  0.77727E+03  0.00000E+00  0.77677E+03 -0.24034E+04     -332.7     -438.8     -337.5      29
       30.0000  0.00000E+00  0.78078E+03  0.00000E+00  0.78028E+03 -0.24034E+04     -340.5     -444.9     -347.4      30
       31.0000  0.00000E+00  0.79951E+03  0.00000E+00  0.79901E+03 -0.24034E+04     -355.6     -456.0     -374.8      31
       32.0000  0.00000E+00  0.83697E+03  0.00000E+00  0.83647E+03 -0.24034E+04     -378.9     -473.9     -422.1      32
       33.0000  0.00000E+00  0.88964E+03  0.00000E+00  0.88915E+03 -0.24034E+04     -412.4     -500.0     -492.6      33
       34.0000  0.00000E+00  0.96222E+03  0.00000E+00  0.96172E+03 -0.24034E+04     -465.6     -539.2     -614.2      34
       35.0000  0.00000E+00  0.10488E+04  0.00000E+00  0.10483E+04 -0.24034E+04     -537.5     -590.8     -766.9      35
       36.0000  0.00000E+00  0.11437E+04  0.00000E+00  0.11430E+04 -0.24034E+04     -627.0     -653.4     -943.8      36
       37.0000  0.00000E+00  0.12373E+04  0.00000E+00  0.12358E+04 -0.24034E+04     -716.8     -716.2    -1124.4      37
       38.0000  0.00000E+00  0.13239E+04  0.00000E+00  0.13209E+04 -0.24034E+04     -802.9     -775.7    -1284.1      38
       39.0000  0.00000E+00  0.14035E+04  0.00000E+00  0.13981E+04 -0.24034E+04     -885.9     -832.1    -1422.7      39
       40.0000  0.00000E+00  0.14726E+04  0.00000E+00  0.14646E+04 -0.24034E+04     -960.9     -882.2    -1516.7      40
       41.0000  0.00000E+00  0.15253E+04  0.00000E+00  0.15149E+04 -0.24034E+04    -1021.7     -919.8    -1536.6      41
       42.0000  0.00000E+00  0.15627E+04  0.00000E+00  0.15506E+04 -0.24034E+04    -1063.3     -945.9    -1498.0      42
       43.0000  0.00000E+00  0.15791E+04  0.00000E+00  0.15667E+04 -0.24034E+04    -1080.7     -955.5    -1393.1      43
       44.0000  0.00000E+00  0.15885E+04  0.00000E+00  0.15760E+04 -0.24034E+04    -1089.9     -960.2    -1305.9      44
       45.0000  0.00000E+00  0.15943E+04  0.00000E+00  0.15819E+04 -0.24034E+04    -1095.0     -962.5    -1239.7      45
       46.0000  0.00000E+00  0.15990E+04  0.00000E+00  0.15866E+04 -0.24034E+04    -1097.7     -964.3    -1195.8      46
       47.0000  0.00000E+00  0.16025E+04  0.00000E+00  0.15901E+04 -0.24034E+04    -1098.1     -965.3    -1161.4      47
       48.0000  0.00000E+00  0.16049E+04  0.00000E+00  0.15924E+04 -0.24034E+04    -1096.9     -965.5    -1134.0      48
       49.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15936E+04 -0.24034E+04    -1094.2     -964.8    -1110.9      49
       50.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15936E+04 -0.24034E+04    -1089.9     -963.2    -1090.2      50
       51.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15936E+04 -0.24034E+04    -1085.6     -961.6    -1075.6      51
       52.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15936E+04 -0.24034E+04    -1081.2     -960.2    -1064.8      52
       53.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15936E+04 -0.24034E+04    -1077.0     -958.7    -1056.3      53
