 All cumulative fluxes (CumQ) are positive out of the region

       Time        CumQAP       CumQRP       CumQA        CumQR       CumQ3        hAtm       hRoot     hKode3    A-level
      [T]           [V]          [V]         [V]          [V]          [V]          [L]        [L]        [L] 

        1.0000  0.00000E+00  0.58529E+01  0.00000E+00  0.58529E+01 -0.12138E+02    -1007.9     -997.1     -208.9       1
        2.0000  0.00000E+00  0.81941E+01  0.00000E+00  0.81941E+01 -0.24277E+02    -1004.4     -990.7     -198.6       2
        3.0000  0.00000E+00  0.11706E+02  0.00000E+00  0.11706E+02 -0.36415E+02     -996.6     -984.8     -194.7       3
        4.0000  0.00000E+00  0.15218E+02  0.00000E+00  0.15218E+02 -0.48553E+02     -986.7     -978.7     -192.5       4
        5.0000  0.00000E+00  0.18729E+02  0.00000E+00  0.18729E+02 -0.72830E+02     -973.8     -965.8     -114.5       5
        6.0000  0.00000E+00  0.23412E+02  0.00000E+00  0.23405E+02 -0.65547E+03     -711.0     -759.4      -10.4       6
        7.0000  0.00000E+00  0.40970E+02  0.00000E+00  0.40920E+02 -0.12381E+04     -347.1     -541.6       -9.9       7
        8.0000  0.00000E+00  0.77258E+02  0.00000E+00  0.77095E+02 -0.18207E+04     -152.9     -394.6       -9.7       8
        9.0000  0.00000E+00  0.12876E+03  0.00000E+00  0.12845E+03 -0.24034E+04      -99.0     -307.5       -9.5       9
       10.0000  0.00000E+00  0.19549E+03  0.00000E+00  0.19517E+03 -0.24034E+04     -106.6     -275.8     -105.3      10
       11.0000  0.00000E+00  0.27392E+03  0.00000E+00  0.27360E+03 -0.24034E+04     -121.7     -270.7     -129.8      11
       12.0000  0.00000E+00  0.36054E+03  0.00000E+00  0.36023E+03 -0.24034E+04     -137.3     -276.7     -155.2      12
       13.0000  0.00000E+00  0.44716E+03  0.00000E+00  0.44685E+03 -0.24034E+04     -155.2     -288.7     -182.6      13
       14.0000  0.00000E+00  0.53262E+03  0.00000E+00  0.53230E+03 -0.24034E+04     -174.2     -304.1     -212.0      14
       15.0000  0.00000E+00  0.60051E+03  0.00000E+00  0.60020E+03 -0.24034E+04     -192.5     -319.5     -233.7      15
       16.0000  0.00000E+00  0.63212E+03  0.00000E+00  0.63180E+03 -0.24034E+04     -204.7     -330.6     -235.8      16
       17.0000  0.00000E+00  0.66372E+03  0.00000E+00  0.66341E+03 -0.24034E+04     -217.2     -342.1     -246.1      17
       18.0000  0.00000E+00  0.69650E+03  0.00000E+00  0.69618E+03 -0.24034E+04     -230.1     -354.2     -260.6      18
       19.0000  0.00000E+00  0.71523E+03  0.00000E+00  0.71491E+03 -0.24034E+04     -240.6     -363.2     -265.5      19
       20.0000  0.00000E+00  0.72693E+03  0.00000E+00  0.72662E+03 -0.24034E+04     -250.0     -371.1     -268.8      20
       21.0000  0.00000E+00  0.73981E+03  0.00000E+00  0.73950E+03 -0.24034E+04     -258.9     -379.4     -276.4      21
       22.0000  0.00000E+00  0.74917E+03  0.00000E+00  0.74886E+03 -0.24034E+04     -267.0     -387.0     -282.9      22
       23.0000  0.00000E+00  0.75620E+03  0.00000E+00  0.75588E+03 -0.24034E+04     -274.7     -394.0     -289.0      23
       24.0000  0.00000E+00  0.76439E+03  0.00000E+00  0.76408E+03 -0.24034E+04     -283.8     -401.3     -297.7      24
       25.0000  0.00000E+00  0.76907E+03  0.00000E+00  0.76876E+03 -0.24034E+04     -291.7     -407.7     -302.8      25
       26.0000  0.00000E+00  0.77376E+03  0.00000E+00  0.77344E+03 -0.24034E+04     -298.7     -414.0     -309.1      26
       27.0000  0.00000E+00  0.77610E+03  0.00000E+00  0.77578E+03 -0.24034E+04     -304.9     -419.5     -313.5      27
       28.0000  0.00000E+00  0.77727E+03  0.00000E+00  0.77696E+03 -0.24034E+04     -310.6     -424.7     -317.7      28
       29.0000  0.00000E+00  0.77727E+03  0.00000E+00  0.77696E+03 -0.24034E+04     -315.9     -429.4     -321.5      29
       30.0000  0.00000E+00  0.78078E+03  0.00000E+00  0.78047E+03 -0.24034E+04     -322.2     -435.0     -329.8      30
       31.0000  0.00000E+00  0.79951E+03  0.00000E+00  0.79920E+03 -0.24034E+04     -334.5     -445.2     -356.2      31
       32.0000  0.00000E+00  0.83697E+03  0.00000E+00  0.83666E+03 -0.24034E+04     -357.8     -462.9     -403.1      32
       33.0000  0.00000E+00  0.88964E+03  0.00000E+00  0.88933E+03 -0.24034E+04     -388.5     -486.9     -472.5      33
       34.0000  0.00000E+00  0.96222E+03  0.00000E+00  0.96191E+03 -0.24034E+04     -432.7     -521.2     -585.0      34
       35.0000  0.00000E+00  0.10488E+04  0.00000E+00  0.10485E+04 -0.24034E+04     -492.4     -566.1     -738.6      35
       36.0000  0.00000E+00  0.11437E+04  0.00000E+00  0.11433E+04 -0.24034E+04     -564.0     -619.6     -924.0      36
       37.0000  0.00000E+00  0.12373E+04  0.00000E+00  0.12363E+04 -0.24034E+04     -643.1     -677.1    -1114.2      37
       38.0000  0.00000E+00  0.13239E+04  0.00000E+00  0.13216E+04 -0.24034E+04     -721.4     -733.3    -1284.7      38
       39.0000  0.00000E+00  0.14035E+04  0.00000E+00  0.13993E+04 -0.24034E+04     -798.0     -787.0    -1432.1      39
       40.0000  0.00000E+00  0.14726E+04  0.00000E+00  0.14661E+04 -0.24034E+04     -868.6     -835.3    -1532.0      40
       41.0000  0.00000E+00  0.15253E+04  0.00000E+00  0.15168E+04 -0.24034E+04     -925.3     -871.1    -1552.1      41
       42.0000  0.00000E+00  0.15627E+04  0.00000E+00  0.15528E+04 -0.24034E+04     -964.8     -896.2    -1507.5      42
       43.0000  0.00000E+00  0.15791E+04  0.00000E+00  0.15690E+04 -0.24034E+04     -983.7     -905.2    -1391.7      43
       44.0000  0.00000E+00  0.15885E+04  0.00000E+00  0.15783E+04 -0.24034E+04     -993.6     -909.7    -1291.7      44
       45.0000  0.00000E+00  0.15943E+04  0.00000E+00  0.15842E+04 -0.24034E+04     -998.9     -912.2    -1214.6      45
       46.0000  0.00000E+00  0.15990E+04  0.00000E+00  0.15889E+04 -0.24034E+04    -1002.8     -914.4    -1159.9      46
       47.0000  0.00000E+00  0.16025E+04  0.00000E+00  0.15924E+04 -0.24034E+04    -1005.2     -916.0    -1117.2      47
       48.0000  0.00000E+00  0.16049E+04  0.00000E+00  0.15947E+04 -0.24034E+04    -1006.2     -916.9    -1084.0      48
       49.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15959E+04 -0.24034E+04    -1005.9     -917.0    -1056.5      49
       50.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15959E+04 -0.24034E+04    -1004.1     -916.2    -1032.7      50
       51.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15959E+04 -0.24034E+04    -1002.3     -915.5    -1016.5      51
       52.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15959E+04 -0.24034E+04    -1000.3     -915.0    -1004.2      52
       53.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15959E+04 -0.24034E+04     -998.3     -914.4     -994.4      53
       54.0000  0.00000E+00  0.16096E+04  0.00000E+00  0.15994E+04 -0.24034E+04     -999.7     -916.8    -1000.2      54
       55.0000  0.00000E+00  0.16295E+04  0.00000E+00  0.16189E+04 -0.24034E+04    -1018.9     -932.3    -1071.0      55
       56.0000  0.00000E+00  0.16657E+04  0.00000E+00  0.16539E+04 -0.24034E+04    -1059.3     -961.3    -1199.9      56
       57.0000  0.00000E+00  0.17196E+04  0.00000E+00  0.17051E+04 -0.24034E+04    -1122.6    -1007.0    -1394.2      57
       58.0000  0.00000E+00  0.17922E+04  0.00000E+00  0.17728E+04 -0.24034E+04    -1214.8    -1072.2    -1689.2      58
       59.0000  0.00000E+00  0.18788E+04  0.00000E+00  0.18516E+04 -0.24034E+04    -1333.0    -1154.4    -2067.0      59
       60.0000  0.00000E+00  0.19666E+04  0.00000E+00  0.19293E+04 -0.24034E+04    -1462.3    -1241.3    -2440.0      60
       61.0000  0.00000E+00  0.20380E+04  0.00000E+00  0.19914E+04 -0.24034E+04    -1575.7    -1311.0    -2652.8      61
