 All cumulative fluxes (CumQ) are positive out of the region

       Time        CumQAP       CumQRP       CumQA        CumQR       CumQ3        hAtm       hRoot     hKode3    A-level
      [T]           [V]          [V]         [V]          [V]          [V]          [L]        [L]        [L] 

        1.0000  0.00000E+00  0.58529E+01  0.00000E+00  0.58529E+01 -0.12138E+02    -1007.5     -996.4     -261.5       1
        2.0000  0.00000E+00  0.81941E+01  0.00000E+00  0.81941E+01 -0.24277E+02    -1000.6     -989.4     -250.2       2
        3.0000  0.00000E+00  0.11706E+02  0.00000E+00  0.11706E+02 -0.36415E+02     -990.3     -983.0     -246.1       3
        4.0000  0.00000E+00  0.15218E+02  0.00000E+00  0.15218E+02 -0.48553E+02     -978.8     -976.5     -243.4       4
        5.0000  0.00000E+00  0.18729E+02  0.00000E+00  0.18729E+02 -0.72830E+02     -962.8     -962.3     -139.7       5
        6.0000  0.00000E+00  0.23412E+02  0.00000E+00  0.23400E+02 -0.65547E+03     -629.1     -722.6       -7.2       6
        7.0000  0.00000E+00  0.40971E+02  0.00000E+00  0.40891E+02 -0.12381E+04     -253.7     -501.8       -6.8       7
        8.0000  0.00000E+00  0.77259E+02  0.00000E+00  0.77007E+02 -0.18207E+04     -112.7     -372.4       -6.5       8
        9.0000  0.00000E+00  0.12876E+03  0.00000E+00  0.12825E+03 -0.24034E+04      -77.7     -288.1       -6.0       9
       10.0000  0.00000E+00  0.19549E+03  0.00000E+00  0.19497E+03 -0.24034E+04      -95.9     -255.8      -96.1      10
       11.0000  0.00000E+00  0.27392E+03  0.00000E+00  0.27340E+03 -0.24034E+04     -118.1     -254.8     -121.8      11
       12.0000  0.00000E+00  0.36054E+03  0.00000E+00  0.36002E+03 -0.24034E+04     -140.9     -267.7     -151.3      12
       13.0000  0.00000E+00  0.44716E+03  0.00000E+00  0.44665E+03 -0.24034E+04     -165.3     -287.0     -183.1      13
       14.0000  0.00000E+00  0.53262E+03  0.00000E+00  0.53210E+03 -0.24034E+04     -190.9     -309.4     -219.3      14
       15.0000  0.00000E+00  0.60051E+03  0.00000E+00  0.59999E+03 -0.24034E+04     -213.7     -330.4     -247.8      15
