 All cumulative fluxes (CumQ) are positive out of the region

       Time        CumQAP       CumQRP       CumQA        CumQR       CumQ3        hAtm       hRoot     hKode3    A-level
      [T]           [V]          [V]         [V]          [V]          [V]          [L]        [L]        [L] 

        1.0000  0.00000E+00  0.58529E+01  0.00000E+00  0.58529E+01 -0.12138E+02    -1007.7     -996.9     -239.2       1
        2.0000  0.00000E+00  0.81941E+01  0.00000E+00  0.81941E+01 -0.24277E+02    -1001.7     -990.1     -230.1       2
        3.0000  0.00000E+00  0.11706E+02  0.00000E+00  0.11706E+02 -0.36415E+02     -992.2     -984.0     -226.2       3
        4.0000  0.00000E+00  0.15218E+02  0.00000E+00  0.15218E+02 -0.48553E+02     -981.2     -977.7     -223.5       4
        5.0000  0.00000E+00  0.18729E+02  0.00000E+00  0.18729E+02 -0.72830E+02     -967.4     -964.8     -130.2       5
        6.0000  0.00000E+00  0.23412E+02  0.00000E+00  0.23408E+02 -0.65547E+03     -705.1     -759.6      -12.9       6
        7.0000  0.00000E+00  0.40971E+02  0.00000E+00  0.40937E+02 -0.12381E+04     -353.9     -552.2      -12.4       7
        8.0000  0.00000E+00  0.77259E+02  0.00000E+00  0.77141E+02 -0.18207E+04     -158.1     -405.6      -12.1       8
        9.0000  0.00000E+00  0.12876E+03  0.00000E+00  0.12855E+03 -0.24034E+04      -97.2     -312.5      -11.7       9
       10.0000  0.00000E+00  0.19549E+03  0.00000E+00  0.19527E+03 -0.24034E+04     -111.1     -281.6     -112.4      10
       11.0000  0.00000E+00  0.27392E+03  0.00000E+00  0.27369E+03 -0.24034E+04     -129.2     -279.6     -137.7      11
       12.0000  0.00000E+00  0.36054E+03  0.00000E+00  0.36032E+03 -0.24034E+04     -147.0     -288.8     -163.4      12
       13.0000  0.00000E+00  0.44716E+03  0.00000E+00  0.44694E+03 -0.24034E+04     -165.4     -302.9     -189.4      13
       14.0000  0.00000E+00  0.53262E+03  0.00000E+00  0.53239E+03 -0.24034E+04     -185.8     -319.9     -216.0      14
       15.0000  0.00000E+00  0.60051E+03  0.00000E+00  0.60029E+03 -0.24034E+04     -204.8     -336.3     -235.3      15
       16.0000  0.00000E+00  0.63212E+03  0.00000E+00  0.63189E+03 -0.24034E+04     -217.7     -347.5     -238.2      16
       17.0000  0.00000E+00  0.66372E+03  0.00000E+00  0.66350E+03 -0.24034E+04     -230.3     -358.1     -249.0      17
       18.0000  0.00000E+00  0.69650E+03  0.00000E+00  0.69628E+03 -0.24034E+04     -245.2     -369.7     -263.7      18
       19.0000  0.00000E+00  0.71523E+03  0.00000E+00  0.71500E+03 -0.24034E+04     -255.7     -378.9     -269.3      19
       20.0000  0.00000E+00  0.72693E+03  0.00000E+00  0.72671E+03 -0.24034E+04     -264.0     -386.8     -274.2      20
       21.0000  0.00000E+00  0.73981E+03  0.00000E+00  0.73959E+03 -0.24034E+04     -272.8     -395.0     -283.2      21
       22.0000  0.00000E+00  0.74917E+03  0.00000E+00  0.74895E+03 -0.24034E+04     -281.3     -402.5     -290.9      22
       23.0000  0.00000E+00  0.75620E+03  0.00000E+00  0.75598E+03 -0.24034E+04     -290.0     -409.3     -297.5      23
       24.0000  0.00000E+00  0.76439E+03  0.00000E+00  0.76417E+03 -0.24034E+04     -297.8     -416.4     -305.9      24
       25.0000  0.00000E+00  0.76907E+03  0.00000E+00  0.76885E+03 -0.24034E+04     -304.4     -422.5     -311.2      25
       26.0000  0.00000E+00  0.77376E+03  0.00000E+00  0.77353E+03 -0.24034E+04     -311.0     -428.5     -317.6      26
       27.0000  0.00000E+00  0.77610E+03  0.00000E+00  0.77588E+03 -0.24034E+04     -316.7     -433.9     -322.1      27
       28.0000  0.00000E+00  0.77727E+03  0.00000E+00  0.77705E+03 -0.24034E+04     -322.0     -438.8     -326.4      28
       29.0000  0.00000E+00  0.77727E+03  0.00000E+00  0.77705E+03 -0.24034E+04     -326.8     -443.2     -330.4      29
       30.0000  0.00000E+00  0.78078E+03  0.00000E+00  0.78056E+03 -0.24034E+04     -332.7     -448.6     -338.7      30
       31.0000  0.00000E+00  0.79951E+03  0.00000E+00  0.79929E+03 -0.24034E+04     -345.2     -458.4     -363.6      31
       32.0000  0.00000E+00  0.83697E+03  0.00000E+00  0.83675E+03 -0.24034E+04     -364.9     -473.9     -405.4      32
       33.0000  0.00000E+00  0.88964E+03  0.00000E+00  0.88942E+03 -0.24034E+04     -390.8     -495.5     -464.8      33
       34.0000  0.00000E+00  0.96222E+03  0.00000E+00  0.96200E+03 -0.24034E+04     -427.6     -525.4     -556.9      34
       35.0000  0.00000E+00  0.10488E+04  0.00000E+00  0.10486E+04 -0.24034E+04     -474.9     -562.6     -683.9      35
       36.0000  0.00000E+00  0.11437E+04  0.00000E+00  0.11434E+04 -0.24034E+04     -530.9     -606.2     -827.6      36
       37.0000  0.00000E+00  0.12373E+04  0.00000E+00  0.12368E+04 -0.24034E+04     -593.1     -653.0     -968.8      37
       38.0000  0.00000E+00  0.13239E+04  0.00000E+00  0.13228E+04 -0.24034E+04     -656.8     -699.2    -1093.7      38
       39.0000  0.00000E+00  0.14035E+04  0.00000E+00  0.14013E+04 -0.24034E+04     -722.0     -745.2    -1200.7      39
       40.0000  0.00000E+00  0.14726E+04  0.00000E+00  0.14691E+04 -0.24034E+04     -783.8     -786.9    -1270.9      40
       41.0000  0.00000E+00  0.15253E+04  0.00000E+00  0.15206E+04 -0.24034E+04     -834.1     -818.3    -1277.4      41
       42.0000  0.00000E+00  0.15627E+04  0.00000E+00  0.15572E+04 -0.24034E+04     -870.4     -841.0    -1237.4      42
       43.0000  0.00000E+00  0.15791E+04  0.00000E+00  0.15735E+04 -0.24034E+04     -885.5     -849.8    -1144.2      43
       44.0000  0.00000E+00  0.15885E+04  0.00000E+00  0.15829E+04 -0.24034E+04     -894.8     -854.7    -1070.0      44
       45.0000  0.00000E+00  0.15943E+04  0.00000E+00  0.15887E+04 -0.24034E+04     -902.0     -858.0    -1018.3      45
       46.0000  0.00000E+00  0.15990E+04  0.00000E+00  0.15934E+04 -0.24034E+04     -907.2     -860.9     -985.7      46
       47.0000  0.00000E+00  0.16025E+04  0.00000E+00  0.15969E+04 -0.24034E+04     -910.0     -863.3     -961.7      47
       48.0000  0.00000E+00  0.16049E+04  0.00000E+00  0.15993E+04 -0.24034E+04     -911.7     -864.9     -944.0      48
       49.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.16004E+04 -0.24034E+04     -912.1     -865.8     -929.5      49
       50.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.16004E+04 -0.24034E+04     -911.1     -865.8     -916.7      50
       51.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.16004E+04 -0.24034E+04     -910.1     -865.8     -908.5      51
       52.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.16004E+04 -0.24034E+04     -909.1     -865.9     -903.0      52
       53.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.16004E+04 -0.24034E+04     -908.0     -866.0     -899.1      53
       54.0000  0.00000E+00  0.16096E+04  0.00000E+00  0.16039E+04 -0.24034E+04     -910.8     -868.7     -908.4      54
       55.0000  0.00000E+00  0.16295E+04  0.00000E+00  0.16236E+04 -0.24034E+04     -931.3     -883.4     -971.4      55
       56.0000  0.00000E+00  0.16657E+04  0.00000E+00  0.16591E+04 -0.24034E+04     -968.9     -910.7    -1078.1      56
       57.0000  0.00000E+00  0.17196E+04  0.00000E+00  0.17110E+04 -0.24034E+04    -1030.2     -954.2    -1249.4      57
       58.0000  0.00000E+00  0.17922E+04  0.00000E+00  0.17797E+04 -0.24034E+04    -1121.2    -1016.4    -1514.4      58
       59.0000  0.00000E+00  0.18788E+04  0.00000E+00  0.18598E+04 -0.24034E+04    -1241.9    -1097.0    -1862.3      59
       60.0000  0.00000E+00  0.19666E+04  0.00000E+00  0.19389E+04 -0.24034E+04    -1372.9    -1182.9    -2215.9      60
       61.0000  0.00000E+00  0.20380E+04  0.00000E+00  0.20021E+04 -0.24034E+04    -1488.1    -1254.2    -2426.4      61
       62.0000  0.00000E+00  0.21188E+04  0.00000E+00  0.20718E+04 -0.24034E+04    -1623.9    -1340.1    -2739.2      62
       63.0000  0.00000E+00  0.21960E+04  0.00000E+00  0.21369E+04 -0.24034E+04    -1758.8    -1424.0    -3019.3      63
       64.0000  0.00000E+00  0.22663E+04  0.00000E+00  0.21948E+04 -0.24034E+04    -1888.7    -1499.9    -3222.0      64
       65.0000  0.00000E+00  0.23201E+04  0.00000E+00  0.22387E+04 -0.24034E+04    -1984.9    -1555.5    -3254.1      65
       66.0000  0.00000E+00  0.23552E+04  0.00000E+00  0.22673E+04 -0.24034E+04    -2046.5    -1586.6    -3139.8      66
       67.0000  0.00000E+00  0.23716E+04  0.00000E+00  0.22811E+04 -0.24034E+04    -2073.4    -1593.4    -2911.7      67
       68.0000  0.00000E+00  0.23798E+04  0.00000E+00  0.22884E+04 -0.24034E+04    -2080.7    -1591.1    -2689.9      68
       69.0000  0.00000E+00  0.23880E+04  0.00000E+00  0.22957E+04 -0.24034E+04    -2086.9    -1590.6    -2545.7      69
       70.0000  0.00000E+00  0.24009E+04  0.00000E+00  0.23070E+04 -0.24034E+04    -2102.2    -1597.9    -2485.1      70
       71.0000  0.00000E+00  0.24126E+04  0.00000E+00  0.23173E+04 -0.24034E+04    -2115.1    -1604.2    -2431.4      71
       72.0000  0.00000E+00  0.24219E+04  0.00000E+00  0.23257E+04 -0.24034E+04    -2123.2    -1607.5    -2375.9      72
       73.0000  0.00000E+00  0.24313E+04  0.00000E+00  0.23340E+04 -0.24034E+04    -2130.9    -1611.2    -2338.4      73
       74.0000  0.00000E+00  0.24395E+04  0.00000E+00  0.23414E+04 -0.24034E+04    -2136.0    -1613.5    -2302.6      74
       75.0000  0.00000E+00  0.24454E+04  0.00000E+00  0.23468E+04 -0.24034E+04    -2135.8    -1612.5    -2257.4      75
       76.0000  0.00000E+00  0.24500E+04  0.00000E+00  0.23511E+04 -0.24034E+04    -2132.6    -1610.1    -2215.0      76
       77.0000  0.00000E+00  0.24547E+04  0.00000E+00  0.23554E+04 -0.24034E+04    -2129.0    -1607.9    -2183.5      77
       78.0000  0.00000E+00  0.24617E+04  0.00000E+00  0.23619E+04 -0.24034E+04    -2130.1    -1609.2    -2179.0      78
       79.0000  0.00000E+00  0.24863E+04  0.00000E+00  0.23824E+04 -0.24034E+04    -2165.9    -1634.4    -2313.0      79
       80.0000  0.00000E+00  0.25273E+04  0.00000E+00  0.24161E+04 -0.24034E+04    -2236.9    -1682.6    -2552.3      80
       81.0000  0.00000E+00  0.25858E+04  0.00000E+00  0.24629E+04 -0.24034E+04    -2349.7    -1756.6    -2923.4      81
       82.0000  0.00000E+00  0.26607E+04  0.00000E+00  0.25205E+04 -0.24034E+04    -2503.3    -1856.2    -3406.2      82
       83.0000  0.00000E+00  0.27474E+04  0.00000E+00  0.25842E+04 -0.24034E+04    -2686.8    -1975.8    -3957.7      83
       84.0000  0.00000E+00  0.28422E+04  0.00000E+00  0.26502E+04 -0.24034E+04    -2894.8    -2110.3    -4515.2      84
       85.0000  0.00000E+00  0.29358E+04  0.00000E+00  0.27120E+04 -0.24034E+04    -3107.0    -2240.5    -4987.3      85
       86.0000  0.00000E+00  0.30248E+04  0.00000E+00  0.27679E+04 -0.24034E+04    -3305.2    -2362.0    -5299.2      86
       87.0000  0.00000E+00  0.31067E+04  0.00000E+00  0.28174E+04 -0.24034E+04    -3482.8    -2471.3    -5487.8      87
       88.0000  0.00000E+00  0.31770E+04  0.00000E+00  0.28585E+04 -0.24034E+04    -3637.0    -2557.9    -5613.5      88
       89.0000  0.00000E+00  0.32320E+04  0.00000E+00  0.28903E+04 -0.24034E+04    -3756.3    -2616.4    -5603.0      89
       90.0000  0.00000E+00  0.32706E+04  0.00000E+00  0.29127E+04 -0.24034E+04    -3835.0    -2646.3    -5473.7      90
       91.0000  0.00000E+00  0.32917E+04  0.00000E+00  0.29251E+04 -0.24034E+04    -3866.0    -2646.8    -5236.5      91
       92.0000  0.00000E+00  0.33057E+04  0.00000E+00  0.29338E+04 -0.24034E+04    -3879.7    -2639.6    -4999.8      92
       93.0000  0.00000E+00  0.33221E+04  0.00000E+00  0.29440E+04 -0.24034E+04    -3898.5    -2639.8    -4851.9      93
       94.0000  0.00000E+00  0.33362E+04  0.00000E+00  0.29529E+04 -0.24034E+04    -3911.8    -2637.9    -4718.4      94
       95.0000  0.00000E+00  0.33432E+04  0.00000E+00  0.29577E+04 -0.24034E+04    -3907.6    -2624.5    -4539.7      95
       96.0000  0.00000E+00  0.33479E+04  0.00000E+00  0.29609E+04 -0.24034E+04    -3896.6    -2608.3    -4374.3      96
       97.0000  0.00000E+00  0.33537E+04  0.00000E+00  0.29649E+04 -0.24034E+04    -3887.7    -2595.8    -4251.3      97
       98.0000  0.00000E+00  0.33584E+04  0.00000E+00  0.29682E+04 -0.24034E+04    -3874.6    -2581.9    -4134.1      98
       99.0000  0.00000E+00  0.33619E+04  0.00000E+00  0.29708E+04 -0.24034E+04    -3857.1    -2566.6    -4022.7      99
      100.0000  0.00000E+00  0.33619E+04  0.00000E+00  0.29708E+04 -0.24034E+04    -3829.0    -2544.8    -3885.8     100
      101.0000  0.00000E+00  0.33619E+04  0.00000E+00  0.29708E+04 -0.24034E+04    -3799.7    -2523.9    -3774.2     101
      102.0000  0.00000E+00  0.33678E+04  0.00000E+00  0.29750E+04 -0.24034E+04    -3786.3    -2515.3    -3749.8     102
      103.0000  0.00000E+00  0.33877E+04  0.00000E+00  0.29882E+04 -0.24034E+04    -3807.2    -2531.7    -3871.2     103
      104.0000  0.00000E+00  0.34216E+04  0.00000E+00  0.30101E+04 -0.24034E+04    -3863.6    -2573.2    -4112.9     104
      105.0000  0.00000E+00  0.34708E+04  0.00000E+00  0.30408E+04 -0.24034E+04    -3958.6    -2642.1    -4454.4     105
