KSAT
CulturInfo	en-US
Software Version	1.4.2
Firmware Version	1.4
Last setting of the zero point	7/31/2018
Serial Number	0179

File name	KSAT_measurement_6T2_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	False

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur [cm²]	4.524	Standard burette cross-sectional area
A_cap_in [cm²]	0.075	Burette extension internal cross-sectional area
A_sample  [cm²]	50	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	10	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	7/31/2018 2:32:18 PM
Test duration	00:04:48

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.9	coefficient a of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter b [s-1]	-5.37E-03	coefficient b of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter c [cm]	-.2	coefficient c of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter r2 [-]	0.9999	coefficient of determination of the exponential pressure head decrease function that is fitted to the observed data
Ks Total [cm/d]	256	Saturated hydraulic conductivity [cm/d] of the entire system
Ks Total [m/s]	2.98E-05	Saturated hydraulic conductivity [m/s] of the entire system
Ks Soil [cm/d]	211	Saturated hydraulic conductivity [cm/d] of the soil sample itself
Ks Soil [m/s]	2.45E-05	Saturated hydraulic conductivity [m/s] of the soil sample itself
Ks Soil normalized at 10.0 °C [cm/d]	149	Saturated hydraulic conductivity [cm/d] of the soil sample  normalized to 10 °C mean field temperature
Ks Soil normalized at 10.0 °C [m/s]	1.73E-05	Saturated hydraulic conductivity [m/s] of the soil sample  normalized to 10 °C mean field temperature

DATA
Date/Time		Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
7/31/2018 2:32:18 PM	189	-4.70	0.035	-99999.000	23.380
7/31/2018 2:32:20 PM	95	-2.80	0.034	-99999.000	23.390
7/31/2018 2:32:21 PM	17	-1.87	0.034	-99999.000	23.390
7/31/2018 2:32:21 PM	970	-0.92	5.150	-99999.000	23.390
7/31/2018 2:32:22 PM	892	0.00	5.095	5.095	23.390
7/31/2018 2:32:26 PM	408	3.52	4.961	5.003	23.390
7/31/2018 2:32:31 PM	18	8.13	4.848	4.886	23.400
7/31/2018 2:32:35 PM	628	12.74	4.727	4.771	23.400
7/31/2018 2:32:40 PM	253	17.36	4.607	4.659	23.400
7/31/2018 2:32:45 PM	707	22.82	4.488	4.531	23.400
7/31/2018 2:32:50 PM	285	27.39	4.376	4.425	23.390
7/31/2018 2:32:55 PM	739	32.85	4.263	4.303	23.390
7/31/2018 2:33:00 PM	317	37.43	4.160	4.204	23.390
7/31/2018 2:33:05 PM	772	42.88	4.042	4.088	23.390
7/31/2018 2:33:11 PM	210	48.32	3.937	3.976	23.390
7/31/2018 2:33:16 PM	695	53.80	3.827	3.867	23.390
7/31/2018 2:33:22 PM	133	59.24	3.720	3.761	23.390
7/31/2018 2:33:28 PM	399	65.51	3.596	3.643	23.390
7/31/2018 2:33:33 PM	837	70.95	3.490	3.544	23.390
7/31/2018 2:33:41 PM	57	78.17	3.376	3.417	23.390
7/31/2018 2:33:48 PM	246	85.35	3.265	3.295	23.390
7/31/2018 2:33:55 PM	435	92.54	3.145	3.178	23.400
7/31/2018 2:34:02 PM	670	99.78	3.037	3.065	23.410
7/31/2018 2:34:09 PM	905	107.01	2.934	2.955	23.400
7/31/2018 2:34:17 PM	93	114.20	2.833	2.851	23.400
7/31/2018 2:34:25 PM	110	122.22	2.728	2.739	23.400
7/31/2018 2:34:33 PM	174	130.28	2.625	2.632	23.400
7/31/2018 2:34:41 PM	237	138.35	2.519	2.529	23.400
7/31/2018 2:34:51 PM	35	148.14	2.407	2.409	23.400
7/31/2018 2:34:59 PM	926	157.03	2.304	2.306	23.400
7/31/2018 2:35:09 PM	755	166.86	2.202	2.198	23.400
7/31/2018 2:35:19 PM	522	176.63	2.100	2.096	23.400
7/31/2018 2:35:30 PM	133	187.24	1.994	1.991	23.410
7/31/2018 2:35:40 PM	759	197.87	1.891	1.892	23.410
7/31/2018 2:35:49 PM	869	206.98	1.783	1.811	23.410
7/31/2018 2:36:06 PM	575	223.68	1.682	1.673	23.420
7/31/2018 2:36:19 PM	795	236.90	1.582	1.572	23.420
7/31/2018 2:36:33 PM	874	250.98	1.478	1.472	23.420
7/31/2018 2:36:48 PM	782	265.89	1.374	1.374	23.410
7/31/2018 2:37:06 PM	206	283.31	1.272	-99999.000	23.410

