KSAT
CulturInfo	en-US
Software Version	1.4.2
Firmware Version	1.4
Last setting of the zero point	5/14/2018
Serial Number	0179

File name	KSAT_measurement_15B_000_refit

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	False

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur [cm²]	4.524	Standard burette cross-sectional area
A_cap_in [cm²]	0.075	Burette extension internal cross-sectional area
A_sample  [cm²]	50	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	10	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	5/14/2018 4:20:59 PM
Test duration	00:03:34

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.77	coefficient a of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter b [s-1]	-8.33E-03	coefficient b of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter c [cm]	-.5	coefficient c of the fitted exponential pressure head decrease function y = a * exp(-b*t)+c, where y is the pressure head in cm and t is time in s
Fitting Parameter r2 [-]	1.0000	coefficient of determination of the exponential pressure head decrease function that is fitted to the observed data
Ks Total [cm/d]	397	Saturated hydraulic conductivity [cm/d] of the entire system
Ks Total [m/s]	4.62E-05	Saturated hydraulic conductivity [m/s] of the entire system
Ks Soil [cm/d]	327	Saturated hydraulic conductivity [cm/d] of the soil sample itself
Ks Soil [m/s]	3.81E-05	Saturated hydraulic conductivity [m/s] of the soil sample itself
Ks Soil normalized at 10.0 °C [cm/d]	233	Saturated hydraulic conductivity [cm/d] of the soil sample  normalized to 10 °C mean field temperature
Ks Soil normalized at 10.0 °C [m/s]	2.71E-05	Saturated hydraulic conductivity [m/s] of the soil sample  normalized to 10 °C mean field temperature

DATA
Date/Time		Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
5/14/2018 4:20:59 PM	775	-4.80	0.090	-99999.000	22.980
5/14/2018 4:21:01 PM	807	-2.77	0.089	-99999.000	22.980
5/14/2018 4:21:02 PM	729	-1.84	0.088	-99999.000	22.980
5/14/2018 4:21:03 PM	651	-0.92	5.316	-99999.000	22.980
5/14/2018 4:21:04 PM	573	0.00	5.265	5.265	22.980
5/14/2018 4:21:07 PM	292	2.72	5.125	5.158	22.980
5/14/2018 4:21:11 PM	11	6.44	4.988	5.016	22.980
5/14/2018 4:21:14 PM	699	10.13	4.847	4.880	22.980
5/14/2018 4:21:18 PM	418	13.85	4.721	4.746	22.980
5/14/2018 4:21:22 PM	199	17.63	4.595	4.614	22.980
5/14/2018 4:21:25 PM	887	21.31	4.477	4.490	22.980
5/14/2018 4:21:28 PM	794	24.22	4.376	4.394	22.980
5/14/2018 4:21:32 PM	575	28.00	4.252	4.274	22.980
5/14/2018 4:21:36 PM	279	31.71	4.143	4.159	22.980
5/14/2018 4:21:39 PM	998	35.42	4.038	4.047	22.980
5/14/2018 4:21:43 PM	717	39.14	3.923	3.939	22.980
5/14/2018 4:21:48 PM	296	43.72	3.814	3.810	22.980
5/14/2018 4:21:52 PM	62	47.49	3.708	3.708	22.980
5/14/2018 4:21:56 PM	625	52.05	3.581	3.589	22.980
5/14/2018 4:22:01 PM	282	56.71	3.462	3.471	22.980
5/14/2018 4:22:06 PM	704	62.13	3.342	3.340	22.980
5/14/2018 4:22:11 PM	330	66.76	3.231	3.233	22.980
5/14/2018 4:22:16 PM	768	72.19	3.118	3.112	22.980
5/14/2018 4:22:21 PM	346	76.77	3.018	3.014	22.990
5/14/2018 4:22:26 PM	784	82.21	2.905	2.902	22.990
5/14/2018 4:22:33 PM	113	88.54	2.784	2.779	22.990
5/14/2018 4:22:39 PM	411	94.84	2.667	2.663	22.990
5/14/2018 4:22:45 PM	787	101.21	2.566	2.551	22.990
5/14/2018 4:22:52 PM	100	107.53	2.458	2.446	22.990
5/14/2018 4:22:58 PM	444	113.87	2.355	2.346	22.990
5/14/2018 4:23:05 PM	632	121.06	2.247	2.238	22.990
5/14/2018 4:23:13 PM	680	129.11	2.138	2.126	22.990
5/14/2018 4:23:21 PM	790	137.22	2.030	2.019	23.000
5/14/2018 4:23:30 PM	666	146.09	1.922	1.911	23.000
5/14/2018 4:23:39 PM	573	155.00	1.820	1.810	23.000
5/14/2018 4:23:49 PM	371	164.80	1.719	1.708	23.000
5/14/2018 4:23:59 PM	997	175.42	1.618	1.605	23.010
5/14/2018 4:24:11 PM	514	186.94	1.514	1.504	23.000
5/14/2018 4:24:22 PM	937	198.36	1.413	1.413	23.000
5/14/2018 4:24:34 PM	423	209.85	1.312	-99999.000	23.000

