 All cumulative fluxes (CumQ) are positive out of the region

       Time        CumQAP       CumQRP       CumQA        CumQR       CumQ3        hAtm       hRoot     hKode3    A-level
      [T]           [V]          [V]         [V]          [V]          [V]          [L]        [L]        [L] 

        1.0000  0.00000E+00  0.58529E+01  0.00000E+00  0.58529E+01 -0.12138E+02    -1006.7     -996.8     -261.1       1
        2.0000  0.00000E+00  0.81941E+01  0.00000E+00  0.81941E+01 -0.24277E+02    -1000.4     -990.7     -248.8       2
        3.0000  0.00000E+00  0.11706E+02  0.00000E+00  0.11706E+02 -0.36415E+02     -991.7     -985.3     -243.4       3
        4.0000  0.00000E+00  0.15218E+02  0.00000E+00  0.15218E+02 -0.48553E+02     -982.2     -979.8     -240.0       4
        5.0000  0.00000E+00  0.18729E+02  0.00000E+00  0.18729E+02 -0.72830E+02     -969.1     -967.1     -135.9       5
        6.0000  0.00000E+00  0.23412E+02  0.00000E+00  0.23389E+02 -0.65547E+03     -676.8     -747.7       -6.5       6
        7.0000  0.00000E+00  0.40971E+02  0.00000E+00  0.40822E+02 -0.12381E+04     -309.4     -532.9       -6.2       7
        8.0000  0.00000E+00  0.77259E+02  0.00000E+00  0.76796E+02 -0.18207E+04     -137.7     -393.9       -6.1       8
        9.0000  0.00000E+00  0.12876E+03  0.00000E+00  0.12782E+03 -0.24034E+04      -86.5     -301.3       -5.8       9
       10.0000  0.00000E+00  0.19549E+03  0.00000E+00  0.19454E+03 -0.24034E+04     -102.3     -270.1     -104.7      10
       11.0000  0.00000E+00  0.27392E+03  0.00000E+00  0.27297E+03 -0.24034E+04     -127.6     -269.8     -133.7      11
       12.0000  0.00000E+00  0.36054E+03  0.00000E+00  0.35959E+03 -0.24034E+04     -149.2     -280.2     -159.9      12
       13.0000  0.00000E+00  0.44716E+03  0.00000E+00  0.44621E+03 -0.24034E+04     -165.3     -297.5     -195.2      13
       14.0000  0.00000E+00  0.53262E+03  0.00000E+00  0.53167E+03 -0.24034E+04     -187.3     -319.5     -232.3      14
       15.0000  0.00000E+00  0.60051E+03  0.00000E+00  0.59956E+03 -0.24034E+04     -209.1     -340.6     -259.1      15
       16.0000  0.00000E+00  0.63212E+03  0.00000E+00  0.63117E+03 -0.24034E+04     -224.1     -355.1     -262.1      16
       17.0000  0.00000E+00  0.66372E+03  0.00000E+00  0.66277E+03 -0.24034E+04     -239.4     -368.7     -274.2      17
       18.0000  0.00000E+00  0.69650E+03  0.00000E+00  0.69555E+03 -0.24034E+04     -256.7     -383.0     -291.2      18
       19.0000  0.00000E+00  0.71523E+03  0.00000E+00  0.71428E+03 -0.24034E+04     -269.5     -394.4     -298.1      19
       20.0000  0.00000E+00  0.72693E+03  0.00000E+00  0.72598E+03 -0.24034E+04     -281.3     -404.1     -303.8      20
       21.0000  0.00000E+00  0.73981E+03  0.00000E+00  0.73886E+03 -0.24034E+04     -295.2     -414.1     -314.7      21
       22.0000  0.00000E+00  0.74917E+03  0.00000E+00  0.74823E+03 -0.24034E+04     -306.2     -423.1     -322.9      22
       23.0000  0.00000E+00  0.75620E+03  0.00000E+00  0.75525E+03 -0.24034E+04     -316.4     -431.4     -330.9      23
       24.0000  0.00000E+00  0.76439E+03  0.00000E+00  0.76344E+03 -0.24034E+04     -327.1     -439.9     -341.8      24
       25.0000  0.00000E+00  0.76907E+03  0.00000E+00  0.76813E+03 -0.24034E+04     -336.9     -447.3     -349.5      25
       26.0000  0.00000E+00  0.77376E+03  0.00000E+00  0.77281E+03 -0.24034E+04     -347.4     -454.6     -358.3      26
       27.0000  0.00000E+00  0.77610E+03  0.00000E+00  0.77515E+03 -0.24034E+04     -355.6     -461.0     -364.5      27
       28.0000  0.00000E+00  0.77727E+03  0.00000E+00  0.77632E+03 -0.24034E+04     -363.1     -466.8     -370.4      28
       29.0000  0.00000E+00  0.77727E+03  0.00000E+00  0.77632E+03 -0.24034E+04     -369.8     -472.1     -375.7      29
       30.0000  0.00000E+00  0.78078E+03  0.00000E+00  0.77983E+03 -0.24034E+04     -377.9     -478.4     -385.6      30
       31.0000  0.00000E+00  0.79951E+03  0.00000E+00  0.79856E+03 -0.24034E+04     -392.5     -489.4     -412.6      31
       32.0000  0.00000E+00  0.83697E+03  0.00000E+00  0.83602E+03 -0.24034E+04     -414.9     -506.7     -459.8      32
       33.0000  0.00000E+00  0.88964E+03  0.00000E+00  0.88870E+03 -0.24034E+04     -444.0     -529.3     -539.7      33
       34.0000  0.00000E+00  0.96222E+03  0.00000E+00  0.96127E+03 -0.24034E+04     -490.7     -564.2     -651.2      34
       35.0000  0.00000E+00  0.10488E+04  0.00000E+00  0.10479E+04 -0.24034E+04     -552.2     -609.5     -777.9      35
       36.0000  0.00000E+00  0.11437E+04  0.00000E+00  0.11426E+04 -0.24034E+04     -635.4     -663.4     -926.0      36
       37.0000  0.00000E+00  0.12373E+04  0.00000E+00  0.12356E+04 -0.24034E+04     -708.7     -712.6    -1048.8      37
       38.0000  0.00000E+00  0.13239E+04  0.00000E+00  0.13210E+04 -0.24034E+04     -779.2     -760.0    -1146.0      38
       39.0000  0.00000E+00  0.14035E+04  0.00000E+00  0.13990E+04 -0.24034E+04     -855.4     -809.4    -1224.9      39
       40.0000  0.00000E+00  0.14726E+04  0.00000E+00  0.14661E+04 -0.24034E+04     -927.0     -855.2    -1278.1      40
       41.0000  0.00000E+00  0.15253E+04  0.00000E+00  0.15171E+04 -0.24034E+04     -979.6     -888.3    -1286.1      41
       42.0000  0.00000E+00  0.15627E+04  0.00000E+00  0.15533E+04 -0.24034E+04    -1016.1     -911.6    -1261.3      42
       43.0000  0.00000E+00  0.15791E+04  0.00000E+00  0.15696E+04 -0.24034E+04    -1032.2     -920.8    -1195.6      43
       44.0000  0.00000E+00  0.15885E+04  0.00000E+00  0.15789E+04 -0.24034E+04    -1039.0     -925.4    -1141.7      44
       45.0000  0.00000E+00  0.15943E+04  0.00000E+00  0.15848E+04 -0.24034E+04    -1041.0     -927.7    -1100.8      45
       46.0000  0.00000E+00  0.15990E+04  0.00000E+00  0.15895E+04 -0.24034E+04    -1041.2     -929.2    -1073.8      46
       47.0000  0.00000E+00  0.16025E+04  0.00000E+00  0.15930E+04 -0.24034E+04    -1040.0     -930.0    -1054.4      47
       48.0000  0.00000E+00  0.16049E+04  0.00000E+00  0.15953E+04 -0.24034E+04    -1037.4     -930.1    -1038.8      48
       49.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15965E+04 -0.24034E+04    -1033.6     -929.4    -1025.3      49
       50.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15965E+04 -0.24034E+04    -1028.7     -927.9    -1012.7      50
       51.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15965E+04 -0.24034E+04    -1023.9     -926.5    -1003.6      51
       52.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15965E+04 -0.24034E+04    -1019.2     -925.1     -996.6      52
       53.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15965E+04 -0.24034E+04    -1014.7     -923.8     -990.9      53
       54.0000  0.00000E+00  0.16096E+04  0.00000E+00  0.16000E+04 -0.24034E+04    -1013.6     -924.9     -996.4      54
       55.0000  0.00000E+00  0.16295E+04  0.00000E+00  0.16195E+04 -0.24034E+04    -1028.3     -937.2    -1047.2      55
       56.0000  0.00000E+00  0.16657E+04  0.00000E+00  0.16546E+04 -0.24034E+04    -1059.9     -960.2    -1133.6      56
       57.0000  0.00000E+00  0.17196E+04  0.00000E+00  0.17062E+04 -0.24034E+04    -1108.8     -995.0    -1256.2      57
       58.0000  0.00000E+00  0.17922E+04  0.00000E+00  0.17748E+04 -0.24034E+04    -1178.9    -1043.2    -1438.3      58
       59.0000  0.00000E+00  0.18788E+04  0.00000E+00  0.18553E+04 -0.24034E+04    -1266.9    -1103.0    -1664.4      59
       60.0000  0.00000E+00  0.19666E+04  0.00000E+00  0.19356E+04 -0.24034E+04    -1361.7    -1165.6    -1880.0      60
       61.0000  0.00000E+00  0.20380E+04  0.00000E+00  0.20000E+04 -0.24034E+04    -1444.8    -1217.0    -2000.7      61
