 All cumulative fluxes (CumQ) are positive out of the region

       Time        CumQAP       CumQRP       CumQA        CumQR       CumQ3        hAtm       hRoot     hKode3    A-level
      [T]           [V]          [V]         [V]          [V]          [V]          [L]        [L]        [L] 

        1.0000  0.00000E+00  0.58529E+01  0.00000E+00  0.58529E+01 -0.12138E+02    -1007.6     -996.5     -241.3       1
        2.0000  0.00000E+00  0.81941E+01  0.00000E+00  0.81941E+01 -0.24277E+02    -1002.4     -990.0     -231.6       2
        3.0000  0.00000E+00  0.11706E+02  0.00000E+00  0.11706E+02 -0.36415E+02     -993.4     -984.1     -228.1       3
        4.0000  0.00000E+00  0.15218E+02  0.00000E+00  0.15218E+02 -0.48553E+02     -982.8     -978.1     -226.6       4
        5.0000  0.00000E+00  0.18729E+02  0.00000E+00  0.18729E+02 -0.72830E+02     -968.8     -965.0     -138.7       5
        6.0000  0.00000E+00  0.23412E+02  0.00000E+00  0.23411E+02 -0.65547E+03     -702.6     -761.1      -17.5       6
        7.0000  0.00000E+00  0.40971E+02  0.00000E+00  0.40958E+02 -0.12381E+04     -348.0     -552.4      -16.7       7
        8.0000  0.00000E+00  0.77259E+02  0.00000E+00  0.77208E+02 -0.18207E+04     -177.0     -414.5      -16.3       8
        9.0000  0.00000E+00  0.12876E+03  0.00000E+00  0.12868E+03 -0.24034E+04     -120.2     -325.5      -15.9       9
       10.0000  0.00000E+00  0.19549E+03  0.00000E+00  0.19540E+03 -0.24034E+04     -128.0     -296.7     -126.9      10
       11.0000  0.00000E+00  0.27392E+03  0.00000E+00  0.27383E+03 -0.24034E+04     -144.2     -296.1     -154.7      11
       12.0000  0.00000E+00  0.36054E+03  0.00000E+00  0.36045E+03 -0.24034E+04     -161.7     -306.5     -183.7      12
       13.0000  0.00000E+00  0.44716E+03  0.00000E+00  0.44708E+03 -0.24034E+04     -181.6     -322.3     -214.4      13
       14.0000  0.00000E+00  0.53262E+03  0.00000E+00  0.53253E+03 -0.24034E+04     -202.7     -341.2     -248.0      14
       15.0000  0.00000E+00  0.60051E+03  0.00000E+00  0.60042E+03 -0.24034E+04     -224.0     -359.9     -274.6      15
       16.0000  0.00000E+00  0.63212E+03  0.00000E+00  0.63203E+03 -0.24034E+04     -238.5     -373.0     -279.3      16
       17.0000  0.00000E+00  0.66372E+03  0.00000E+00  0.66364E+03 -0.24034E+04     -254.6     -385.5     -293.0      17
       18.0000  0.00000E+00  0.69650E+03  0.00000E+00  0.69641E+03 -0.24034E+04     -269.9     -398.8     -310.2      18
       19.0000  0.00000E+00  0.71523E+03  0.00000E+00  0.71514E+03 -0.24034E+04     -282.6     -409.6     -317.2      19
       20.0000  0.00000E+00  0.72693E+03  0.00000E+00  0.72685E+03 -0.24034E+04     -294.5     -418.9     -322.9      20
       21.0000  0.00000E+00  0.73981E+03  0.00000E+00  0.73972E+03 -0.24034E+04     -305.5     -428.4     -333.4      21
       22.0000  0.00000E+00  0.74917E+03  0.00000E+00  0.74909E+03 -0.24034E+04     -315.4     -437.0     -342.1      22
       23.0000  0.00000E+00  0.75620E+03  0.00000E+00  0.75611E+03 -0.24034E+04     -324.7     -445.0     -350.3      23
       24.0000  0.00000E+00  0.76439E+03  0.00000E+00  0.76431E+03 -0.24034E+04     -334.8     -453.1     -361.1      24
       25.0000  0.00000E+00  0.76907E+03  0.00000E+00  0.76899E+03 -0.24034E+04     -344.9     -460.3     -368.2      25
       26.0000  0.00000E+00  0.77376E+03  0.00000E+00  0.77367E+03 -0.24034E+04     -354.2     -467.4     -376.5      26
       27.0000  0.00000E+00  0.77610E+03  0.00000E+00  0.77601E+03 -0.24034E+04     -362.4     -473.7     -382.8      27
       28.0000  0.00000E+00  0.77727E+03  0.00000E+00  0.77718E+03 -0.24034E+04     -370.3     -479.6     -388.8      28
       29.0000  0.00000E+00  0.77727E+03  0.00000E+00  0.77718E+03 -0.24034E+04     -377.8     -485.0     -394.4      29
       30.0000  0.00000E+00  0.78078E+03  0.00000E+00  0.78070E+03 -0.24034E+04     -386.4     -491.5     -405.1      30
       31.0000  0.00000E+00  0.79951E+03  0.00000E+00  0.79942E+03 -0.24034E+04     -401.3     -502.7     -436.0      31
       32.0000  0.00000E+00  0.83697E+03  0.00000E+00  0.83688E+03 -0.24034E+04     -428.9     -521.6     -488.3      32
       33.0000  0.00000E+00  0.88964E+03  0.00000E+00  0.88956E+03 -0.24034E+04     -464.4     -547.1     -567.2      33
       34.0000  0.00000E+00  0.96222E+03  0.00000E+00  0.96214E+03 -0.24034E+04     -514.7     -583.3     -693.9      34
       35.0000  0.00000E+00  0.10488E+04  0.00000E+00  0.10487E+04 -0.24034E+04     -583.8     -630.4     -865.3      35
       36.0000  0.00000E+00  0.11437E+04  0.00000E+00  0.11431E+04 -0.24034E+04     -667.3     -686.5    -1060.7      36
       37.0000  0.00000E+00  0.12373E+04  0.00000E+00  0.12353E+04 -0.24034E+04     -759.9     -746.2    -1256.5      37
       38.0000  0.00000E+00  0.13239E+04  0.00000E+00  0.13198E+04 -0.24034E+04     -851.9     -804.5    -1426.3      38
       39.0000  0.00000E+00  0.14035E+04  0.00000E+00  0.13964E+04 -0.24034E+04     -941.6     -860.6    -1568.4      39
       40.0000  0.00000E+00  0.14726E+04  0.00000E+00  0.14623E+04 -0.24034E+04    -1021.6     -909.4    -1663.1      40
       41.0000  0.00000E+00  0.15253E+04  0.00000E+00  0.15123E+04 -0.24034E+04    -1083.7     -945.2    -1673.2      41
       42.0000  0.00000E+00  0.15627E+04  0.00000E+00  0.15478E+04 -0.24034E+04    -1126.6     -969.4    -1620.4      42
       43.0000  0.00000E+00  0.15791E+04  0.00000E+00  0.15637E+04 -0.24034E+04    -1144.8     -977.2    -1494.5      43
       44.0000  0.00000E+00  0.15885E+04  0.00000E+00  0.15731E+04 -0.24034E+04    -1153.2     -980.1    -1393.3      44
       45.0000  0.00000E+00  0.15943E+04  0.00000E+00  0.15789E+04 -0.24034E+04    -1154.5     -980.7    -1311.0      45
       46.0000  0.00000E+00  0.15990E+04  0.00000E+00  0.15836E+04 -0.24034E+04    -1154.1     -980.8    -1253.8      46
       47.0000  0.00000E+00  0.16025E+04  0.00000E+00  0.15871E+04 -0.24034E+04    -1151.8     -980.3    -1211.6      47
       48.0000  0.00000E+00  0.16049E+04  0.00000E+00  0.15894E+04 -0.24034E+04    -1147.8     -979.0    -1177.5      48
       49.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15906E+04 -0.24034E+04    -1141.9     -976.9    -1147.7      49
       50.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15906E+04 -0.24034E+04    -1134.3     -974.0    -1121.4      50
       51.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15906E+04 -0.24034E+04    -1126.6     -971.2    -1102.1      51
       52.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15906E+04 -0.24034E+04    -1119.1     -968.6    -1087.4      52
       53.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15906E+04 -0.24034E+04    -1111.7     -966.1    -1075.6      53
       54.0000  0.00000E+00  0.16096E+04  0.00000E+00  0.15941E+04 -0.24034E+04    -1108.8     -966.6    -1080.7      54
       55.0000  0.00000E+00  0.16295E+04  0.00000E+00  0.16134E+04 -0.24034E+04    -1125.8     -980.0    -1150.2      55
       56.0000  0.00000E+00  0.16657E+04  0.00000E+00  0.16481E+04 -0.24034E+04    -1162.8    -1006.4    -1271.5      56
       57.0000  0.00000E+00  0.17196E+04  0.00000E+00  0.16989E+04 -0.24034E+04    -1225.4    -1048.5    -1464.5      57
       58.0000  0.00000E+00  0.17922E+04  0.00000E+00  0.17661E+04 -0.24034E+04    -1317.6    -1108.6    -1749.9      58
       59.0000  0.00000E+00  0.18788E+04  0.00000E+00  0.18445E+04 -0.24034E+04    -1438.4    -1184.7    -2111.0      59
       60.0000  0.00000E+00  0.19666E+04  0.00000E+00  0.19219E+04 -0.24034E+04    -1569.5    -1265.1    -2462.9      60
       61.0000  0.00000E+00  0.20380E+04  0.00000E+00  0.19838E+04 -0.24034E+04    -1679.9    -1328.3    -2652.1      61
       62.0000  0.00000E+00  0.21188E+04  0.00000E+00  0.20523E+04 -0.24034E+04    -1809.4    -1405.1    -2926.2      62
       63.0000  0.00000E+00  0.21960E+04  0.00000E+00  0.21164E+04 -0.24034E+04    -1938.5    -1478.0    -3161.2      63
       64.0000  0.00000E+00  0.22663E+04  0.00000E+00  0.21737E+04 -0.24034E+04    -2054.1    -1543.7    -3316.1      64
       65.0000  0.00000E+00  0.23201E+04  0.00000E+00  0.22172E+04 -0.24034E+04    -2143.7    -1590.0    -3327.7      65
       66.0000  0.00000E+00  0.23552E+04  0.00000E+00  0.22455E+04 -0.24034E+04    -2197.8    -1613.2    -3199.9      66
       67.0000  0.00000E+00  0.23716E+04  0.00000E+00  0.22592E+04 -0.24034E+04    -2212.6    -1614.3    -2967.6      67
       68.0000  0.00000E+00  0.23798E+04  0.00000E+00  0.22665E+04 -0.24034E+04    -2210.6    -1606.9    -2743.1      68
       69.0000  0.00000E+00  0.23880E+04  0.00000E+00  0.22738E+04 -0.24034E+04    -2207.5    -1601.4    -2587.6      69
       70.0000  0.00000E+00  0.24009E+04  0.00000E+00  0.22850E+04 -0.24034E+04    -2213.0    -1603.0    -2515.0      70
       71.0000  0.00000E+00  0.24126E+04  0.00000E+00  0.22953E+04 -0.24034E+04    -2216.0    -1603.8    -2450.3      71
       72.0000  0.00000E+00  0.24219E+04  0.00000E+00  0.23037E+04 -0.24034E+04    -2214.1    -1602.0    -2384.2      72
       73.0000  0.00000E+00  0.24313E+04  0.00000E+00  0.23121E+04 -0.24034E+04    -2211.6    -1600.7    -2335.4      73
       74.0000  0.00000E+00  0.24395E+04  0.00000E+00  0.23195E+04 -0.24034E+04    -2206.4    -1598.1    -2289.5      74
       75.0000  0.00000E+00  0.24454E+04  0.00000E+00  0.23249E+04 -0.24034E+04    -2196.0    -1592.9    -2235.8      75
       76.0000  0.00000E+00  0.24500E+04  0.00000E+00  0.23292E+04 -0.24034E+04    -2182.9    -1586.4    -2185.8      76
       77.0000  0.00000E+00  0.24547E+04  0.00000E+00  0.23336E+04 -0.24034E+04    -2169.5    -1580.2    -2146.7      77
       78.0000  0.00000E+00  0.24617E+04  0.00000E+00  0.23401E+04 -0.24034E+04    -2160.8    -1577.4    -2132.9      78
       79.0000  0.00000E+00  0.24863E+04  0.00000E+00  0.23608E+04 -0.24034E+04    -2184.8    -1595.7    -2245.8      79
       80.0000  0.00000E+00  0.25273E+04  0.00000E+00  0.23949E+04 -0.24034E+04    -2241.5    -1634.5    -2458.1      80
       81.0000  0.00000E+00  0.25858E+04  0.00000E+00  0.24425E+04 -0.24034E+04    -2336.5    -1695.9    -2776.1      81
       82.0000  0.00000E+00  0.26607E+04  0.00000E+00  0.25015E+04 -0.24034E+04    -2469.5    -1779.4    -3193.2      82
       83.0000  0.00000E+00  0.27474E+04  0.00000E+00  0.25672E+04 -0.24034E+04    -2630.3    -1879.7    -3669.2      83
       84.0000  0.00000E+00  0.28422E+04  0.00000E+00  0.26361E+04 -0.24034E+04    -2812.4    -1992.1    -4166.6      84
       85.0000  0.00000E+00  0.29358E+04  0.00000E+00  0.27013E+04 -0.24034E+04    -2997.3    -2102.6    -4589.6      85
       86.0000  0.00000E+00  0.30248E+04  0.00000E+00  0.27608E+04 -0.24034E+04    -3176.8    -2205.2    -4927.0      86
       87.0000  0.00000E+00  0.31067E+04  0.00000E+00  0.28139E+04 -0.24034E+04    -3338.9    -2295.9    -5151.8      87
       88.0000  0.00000E+00  0.31770E+04  0.00000E+00  0.28585E+04 -0.24034E+04    -3471.9    -2367.7    -5254.3      88
       89.0000  0.00000E+00  0.32320E+04  0.00000E+00  0.28930E+04 -0.24034E+04    -3570.3    -2415.5    -5227.0      89
       90.0000  0.00000E+00  0.32706E+04  0.00000E+00  0.29173E+04 -0.24034E+04    -3630.8    -2438.6    -5075.5      90
       91.0000  0.00000E+00  0.32917E+04  0.00000E+00  0.29307E+04 -0.24034E+04    -3650.5    -2435.9    -4802.2      91
       92.0000  0.00000E+00  0.33057E+04  0.00000E+00  0.29402E+04 -0.24034E+04    -3651.1    -2425.9    -4544.4      92
       93.0000  0.00000E+00  0.33221E+04  0.00000E+00  0.29513E+04 -0.24034E+04    -3655.9    -2421.7    -4379.7      93
       94.0000  0.00000E+00  0.33362E+04  0.00000E+00  0.29609E+04 -0.24034E+04    -3655.3    -2415.6    -4227.6      94
       95.0000  0.00000E+00  0.33432E+04  0.00000E+00  0.29661E+04 -0.24034E+04    -3637.8    -2399.5    -4035.3      95
       96.0000  0.00000E+00  0.33479E+04  0.00000E+00  0.29696E+04 -0.24034E+04    -3612.8    -2380.9    -3861.4      96
       97.0000  0.00000E+00  0.33537E+04  0.00000E+00  0.29739E+04 -0.24034E+04    -3589.9    -2365.4    -3738.2      97
       98.0000  0.00000E+00  0.33584E+04  0.00000E+00  0.29775E+04 -0.24034E+04    -3563.7    -2348.8    -3624.1      98
       99.0000  0.00000E+00  0.33619E+04  0.00000E+00  0.29802E+04 -0.24034E+04    -3533.9    -2331.0    -3517.4      99
      100.0000  0.00000E+00  0.33619E+04  0.00000E+00  0.29802E+04 -0.24034E+04    -3494.5    -2307.8    -3390.0     100
      101.0000  0.00000E+00  0.33619E+04  0.00000E+00  0.29802E+04 -0.24034E+04    -3454.4    -2285.4    -3285.2     101
