 All cumulative fluxes (CumQ) are positive out of the region

       Time        CumQAP       CumQRP       CumQA        CumQR       CumQ3        hAtm       hRoot     hKode3    A-level
      [T]           [V]          [V]         [V]          [V]          [V]          [L]        [L]        [L] 

        1.0000  0.00000E+00  0.58529E+01  0.00000E+00  0.58529E+01 -0.12138E+02    -1006.8     -997.3     -197.6       1
        2.0000  0.00000E+00  0.81941E+01  0.00000E+00  0.81941E+01 -0.24277E+02     -999.3     -991.0     -182.9       2
        3.0000  0.00000E+00  0.11706E+02  0.00000E+00  0.11706E+02 -0.36415E+02     -989.8     -985.2     -176.8       3
        4.0000  0.00000E+00  0.15218E+02  0.00000E+00  0.15218E+02 -0.48553E+02     -979.6     -979.3     -173.8       4
        5.0000  0.00000E+00  0.18729E+02  0.00000E+00  0.18729E+02 -0.72830E+02     -966.8     -967.7      -71.3       5
        6.0000  0.00000E+00  0.23412E+02  0.00000E+00  0.23340E+02 -0.65547E+03     -740.1     -767.4       -4.5       6
        7.0000  0.00000E+00  0.40970E+02  0.00000E+00  0.40466E+02 -0.12381E+04     -415.7     -569.6       -4.3       7
        8.0000  0.00000E+00  0.77258E+02  0.00000E+00  0.75656E+02 -0.18207E+04     -148.6     -392.1       -4.2       8
        9.0000  0.00000E+00  0.12876E+03  0.00000E+00  0.12534E+03 -0.24034E+04      -56.6     -292.6       -4.1       9
       10.0000  0.00000E+00  0.19549E+03  0.00000E+00  0.19202E+03 -0.24034E+04      -63.1     -254.8      -59.7      10
       11.0000  0.00000E+00  0.27392E+03  0.00000E+00  0.27045E+03 -0.24034E+04      -75.7     -247.1      -77.8      11
       12.0000  0.00000E+00  0.36054E+03  0.00000E+00  0.35707E+03 -0.24034E+04      -90.5     -253.0     -102.1      12
       13.0000  0.00000E+00  0.44716E+03  0.00000E+00  0.44369E+03 -0.24034E+04     -107.8     -265.8     -132.1      13
       14.0000  0.00000E+00  0.53262E+03  0.00000E+00  0.52914E+03 -0.24034E+04     -127.8     -283.0     -166.3      14
       15.0000  0.00000E+00  0.60051E+03  0.00000E+00  0.59704E+03 -0.24034E+04     -147.1     -300.4     -191.2      15
       16.0000  0.00000E+00  0.63212E+03  0.00000E+00  0.62864E+03 -0.24034E+04     -159.2     -312.4     -191.0      16
       17.0000  0.00000E+00  0.66372E+03  0.00000E+00  0.66025E+03 -0.24034E+04     -172.0     -323.9     -201.2      17
