 All cumulative fluxes (CumQ) are positive out of the region

       Time        CumQAP       CumQRP       CumQA        CumQR       CumQ3        hAtm       hRoot     hKode3    A-level
      [T]           [V]          [V]         [V]          [V]          [V]          [L]        [L]        [L] 

        1.0000  0.00000E+00  0.58529E+01  0.00000E+00  0.58529E+01 -0.12138E+02    -1008.4     -995.7     -219.1       1
        2.0000  0.00000E+00  0.81941E+01  0.00000E+00  0.81941E+01 -0.24277E+02    -1000.7     -987.4     -210.7       2
        3.0000  0.00000E+00  0.11706E+02  0.00000E+00  0.11706E+02 -0.36415E+02     -988.6     -980.0     -207.3       3
        4.0000  0.00000E+00  0.15218E+02  0.00000E+00  0.15218E+02 -0.48553E+02     -974.8     -972.4     -205.2       4
        5.0000  0.00000E+00  0.18729E+02  0.00000E+00  0.18729E+02 -0.72830E+02     -956.4     -956.4     -125.8       5
        6.0000  0.00000E+00  0.23412E+02  0.00000E+00  0.23406E+02 -0.65547E+03     -613.7     -710.3      -11.1       6
        7.0000  0.00000E+00  0.40970E+02  0.00000E+00  0.40928E+02 -0.12381E+04     -238.4     -484.2      -10.7       7
        8.0000  0.00000E+00  0.77259E+02  0.00000E+00  0.77121E+02 -0.18207E+04     -116.8     -358.9      -10.3       8
        9.0000  0.00000E+00  0.12876E+03  0.00000E+00  0.12849E+03 -0.24034E+04      -84.3     -276.0       -9.9       9
       10.0000  0.00000E+00  0.19549E+03  0.00000E+00  0.19522E+03 -0.24034E+04      -99.7     -246.3      -99.6      10
       11.0000  0.00000E+00  0.27392E+03  0.00000E+00  0.27365E+03 -0.24034E+04     -116.6     -246.4     -121.6      11
       12.0000  0.00000E+00  0.36054E+03  0.00000E+00  0.36027E+03 -0.24034E+04     -134.6     -258.1     -146.1      12
       13.0000  0.00000E+00  0.44716E+03  0.00000E+00  0.44689E+03 -0.24034E+04     -155.3     -275.5     -174.6      13
       14.0000  0.00000E+00  0.53262E+03  0.00000E+00  0.53235E+03 -0.24034E+04     -177.6     -295.8     -207.6      14
       15.0000  0.00000E+00  0.60051E+03  0.00000E+00  0.60024E+03 -0.24034E+04     -199.0     -315.4     -234.8      15
       16.0000  0.00000E+00  0.63212E+03  0.00000E+00  0.63185E+03 -0.24034E+04     -214.5     -329.9     -241.8      16
       17.0000  0.00000E+00  0.66372E+03  0.00000E+00  0.66345E+03 -0.24034E+04     -229.7     -344.4     -257.1      17
       18.0000  0.00000E+00  0.69650E+03  0.00000E+00  0.69623E+03 -0.24034E+04     -246.7     -358.7     -276.1      18
       19.0000  0.00000E+00  0.71523E+03  0.00000E+00  0.71496E+03 -0.24034E+04     -259.8     -370.5     -284.2      19
       20.0000  0.00000E+00  0.72693E+03  0.00000E+00  0.72666E+03 -0.24034E+04     -270.5     -380.9     -291.0      20
       21.0000  0.00000E+00  0.73981E+03  0.00000E+00  0.73954E+03 -0.24034E+04     -282.8     -391.5     -302.9      21
       22.0000  0.00000E+00  0.74917E+03  0.00000E+00  0.74890E+03 -0.24034E+04     -294.7     -401.1     -311.6      22
       23.0000  0.00000E+00  0.75620E+03  0.00000E+00  0.75593E+03 -0.24034E+04     -304.0     -410.0     -319.3      23
       24.0000  0.00000E+00  0.76439E+03  0.00000E+00  0.76412E+03 -0.24034E+04     -313.7     -419.1     -329.9      24
       25.0000  0.00000E+00  0.76907E+03  0.00000E+00  0.76880E+03 -0.24034E+04     -322.0     -427.0     -336.9      25
       26.0000  0.00000E+00  0.77376E+03  0.00000E+00  0.77349E+03 -0.24034E+04     -330.2     -434.7     -345.5      26
       27.0000  0.00000E+00  0.77610E+03  0.00000E+00  0.77583E+03 -0.24034E+04     -338.1     -441.5     -351.5      27
       28.0000  0.00000E+00  0.77727E+03  0.00000E+00  0.77700E+03 -0.24034E+04     -345.9     -447.7     -356.9      28
       29.0000  0.00000E+00  0.77727E+03  0.00000E+00  0.77700E+03 -0.24034E+04     -352.1     -453.4     -361.6      29
       30.0000  0.00000E+00  0.78078E+03  0.00000E+00  0.78051E+03 -0.24034E+04     -360.2     -460.1     -371.9      30
       31.0000  0.00000E+00  0.79951E+03  0.00000E+00  0.79924E+03 -0.24034E+04     -375.5     -472.1     -402.5      31
       32.0000  0.00000E+00  0.83697E+03  0.00000E+00  0.83670E+03 -0.24034E+04     -401.0     -491.2     -459.8      32
       33.0000  0.00000E+00  0.88964E+03  0.00000E+00  0.88937E+03 -0.24034E+04     -438.7     -518.9     -539.2      33
       34.0000  0.00000E+00  0.96222E+03  0.00000E+00  0.96195E+03 -0.24034E+04     -493.9     -558.5     -677.3      34
       35.0000  0.00000E+00  0.10488E+04  0.00000E+00  0.10485E+04 -0.24034E+04     -569.9     -612.0     -876.7      35
       36.0000  0.00000E+00  0.11437E+04  0.00000E+00  0.11427E+04 -0.24034E+04     -665.6     -677.3    -1134.8      36
       37.0000  0.00000E+00  0.12373E+04  0.00000E+00  0.12345E+04 -0.24034E+04     -774.1     -749.6    -1414.1      37
       38.0000  0.00000E+00  0.13239E+04  0.00000E+00  0.13182E+04 -0.24034E+04     -884.9     -820.9    -1670.0      38
       39.0000  0.00000E+00  0.14035E+04  0.00000E+00  0.13939E+04 -0.24034E+04     -995.1     -890.7    -1892.5      39
       40.0000  0.00000E+00  0.14726E+04  0.00000E+00  0.14586E+04 -0.24034E+04    -1096.6     -952.9    -2052.3      40
       41.0000  0.00000E+00  0.15253E+04  0.00000E+00  0.15076E+04 -0.24034E+04    -1176.3     -998.1    -2080.5      41
       42.0000  0.00000E+00  0.15627E+04  0.00000E+00  0.15423E+04 -0.24034E+04    -1232.5    -1028.6    -2005.0      42
       43.0000  0.00000E+00  0.15791E+04  0.00000E+00  0.15580E+04 -0.24034E+04    -1254.4    -1037.4    -1812.4      43
