 All cumulative fluxes (CumQ) are positive out of the region

       Time        CumQAP       CumQRP       CumQA        CumQR       CumQ3        hAtm       hRoot     hKode3    A-level
      [T]           [V]          [V]         [V]          [V]          [V]          [L]        [L]        [L] 

        1.0000  0.00000E+00  0.58529E+01  0.00000E+00  0.58529E+01 -0.12138E+02    -1008.1     -996.4     -239.2       1
        2.0000  0.00000E+00  0.81941E+01  0.00000E+00  0.81941E+01 -0.24277E+02    -1000.9     -988.9     -230.1       2
        3.0000  0.00000E+00  0.11706E+02  0.00000E+00  0.11706E+02 -0.36415E+02     -989.8     -982.1     -226.7       3
        4.0000  0.00000E+00  0.15218E+02  0.00000E+00  0.15218E+02 -0.48553E+02     -977.4     -975.3     -224.5       4
        5.0000  0.00000E+00  0.18729E+02  0.00000E+00  0.18729E+02 -0.72830E+02     -961.3     -961.2     -142.9       5
        6.0000  0.00000E+00  0.23412E+02  0.00000E+00  0.23410E+02 -0.65547E+03     -690.3     -749.8      -15.6       6
        7.0000  0.00000E+00  0.40971E+02  0.00000E+00  0.40958E+02 -0.12381E+04     -343.2     -533.4      -14.8       7
        8.0000  0.00000E+00  0.77259E+02  0.00000E+00  0.77214E+02 -0.18207E+04     -174.5     -393.7      -14.3       8
        9.0000  0.00000E+00  0.12876E+03  0.00000E+00  0.12869E+03 -0.24034E+04     -120.8     -308.5      -13.9       9
       10.0000  0.00000E+00  0.19549E+03  0.00000E+00  0.19541E+03 -0.24034E+04     -131.2     -285.3     -131.7      10
       11.0000  0.00000E+00  0.27392E+03  0.00000E+00  0.27384E+03 -0.24034E+04     -149.4     -289.9     -159.8      11
       12.0000  0.00000E+00  0.36054E+03  0.00000E+00  0.36046E+03 -0.24034E+04     -167.3     -303.7     -189.0      12
       13.0000  0.00000E+00  0.44716E+03  0.00000E+00  0.44708E+03 -0.24034E+04     -186.6     -321.5     -221.0      13
       14.0000  0.00000E+00  0.53262E+03  0.00000E+00  0.53254E+03 -0.24034E+04     -207.8     -341.9     -256.0      14
       15.0000  0.00000E+00  0.60051E+03  0.00000E+00  0.60043E+03 -0.24034E+04     -229.1     -361.6     -284.2      15
       16.0000  0.00000E+00  0.63212E+03  0.00000E+00  0.63204E+03 -0.24034E+04     -245.2     -375.9     -290.4      16
       17.0000  0.00000E+00  0.66372E+03  0.00000E+00  0.66364E+03 -0.24034E+04     -262.3     -389.3     -305.3      17
       18.0000  0.00000E+00  0.69650E+03  0.00000E+00  0.69642E+03 -0.24034E+04     -279.3     -403.9     -323.9      18
       19.0000  0.00000E+00  0.71523E+03  0.00000E+00  0.71515E+03 -0.24034E+04     -294.9     -415.8     -332.0      19
       20.0000  0.00000E+00  0.72693E+03  0.00000E+00  0.72685E+03 -0.24034E+04     -307.4     -426.1     -338.6      20
       21.0000  0.00000E+00  0.73981E+03  0.00000E+00  0.73973E+03 -0.24034E+04     -319.8     -436.7     -350.3      21
       22.0000  0.00000E+00  0.74917E+03  0.00000E+00  0.74910E+03 -0.24034E+04     -331.4     -446.3     -359.7      22
       23.0000  0.00000E+00  0.75620E+03  0.00000E+00  0.75612E+03 -0.24034E+04     -343.5     -455.2     -368.2      23
       24.0000  0.00000E+00  0.76439E+03  0.00000E+00  0.76431E+03 -0.24034E+04     -355.2     -464.3     -379.2      24
       25.0000  0.00000E+00  0.76907E+03  0.00000E+00  0.76900E+03 -0.24034E+04     -364.5     -472.2     -386.4      25
       26.0000  0.00000E+00  0.77376E+03  0.00000E+00  0.77368E+03 -0.24034E+04     -373.6     -480.0     -395.0      26
       27.0000  0.00000E+00  0.77610E+03  0.00000E+00  0.77602E+03 -0.24034E+04     -381.6     -486.9     -401.5      27
       28.0000  0.00000E+00  0.77727E+03  0.00000E+00  0.77719E+03 -0.24034E+04     -389.1     -493.2     -407.6      28
       29.0000  0.00000E+00  0.77727E+03  0.00000E+00  0.77719E+03 -0.24034E+04     -395.9     -499.1     -413.1      29
       30.0000  0.00000E+00  0.78078E+03  0.00000E+00  0.78070E+03 -0.24034E+04     -404.3     -505.9     -424.6      30
       31.0000  0.00000E+00  0.79951E+03  0.00000E+00  0.79943E+03 -0.24034E+04     -421.2     -517.8     -457.7      31
       32.0000  0.00000E+00  0.83697E+03  0.00000E+00  0.83689E+03 -0.24034E+04     -445.0     -537.0     -518.9      32
       33.0000  0.00000E+00  0.88964E+03  0.00000E+00  0.88957E+03 -0.24034E+04     -479.3     -563.1     -602.0      33
       34.0000  0.00000E+00  0.96222E+03  0.00000E+00  0.96214E+03 -0.24034E+04     -529.5     -600.2     -726.9      34
       35.0000  0.00000E+00  0.10488E+04  0.00000E+00  0.10487E+04 -0.24034E+04     -597.7     -647.9     -903.7      35
       36.0000  0.00000E+00  0.11437E+04  0.00000E+00  0.11428E+04 -0.24034E+04     -682.1     -705.0    -1122.8      36
       37.0000  0.00000E+00  0.12373E+04  0.00000E+00  0.12348E+04 -0.24034E+04     -777.3     -766.3    -1347.8      37
       38.0000  0.00000E+00  0.13239E+04  0.00000E+00  0.13187E+04 -0.24034E+04     -877.4     -829.1    -1549.2      38
       39.0000  0.00000E+00  0.14035E+04  0.00000E+00  0.13949E+04 -0.24034E+04     -978.0     -889.5    -1723.2      39
       40.0000  0.00000E+00  0.14726E+04  0.00000E+00  0.14601E+04 -0.24034E+04    -1072.3     -943.8    -1838.9      40
       41.0000  0.00000E+00  0.15253E+04  0.00000E+00  0.15096E+04 -0.24034E+04    -1146.0     -982.2    -1850.7      41
       42.0000  0.00000E+00  0.15627E+04  0.00000E+00  0.15448E+04 -0.24034E+04    -1196.6    -1007.6    -1781.4      42
       43.0000  0.00000E+00  0.15791E+04  0.00000E+00  0.15606E+04 -0.24034E+04    -1216.4    -1013.6    -1622.3      43
       44.0000  0.00000E+00  0.15885E+04  0.00000E+00  0.15699E+04 -0.24034E+04    -1223.3    -1014.2    -1490.4      44
       45.0000  0.00000E+00  0.15943E+04  0.00000E+00  0.15757E+04 -0.24034E+04    -1224.1    -1012.3    -1390.5      45
       46.0000  0.00000E+00  0.15990E+04  0.00000E+00  0.15804E+04 -0.24034E+04    -1221.8    -1010.1    -1318.4      46
       47.0000  0.00000E+00  0.16025E+04  0.00000E+00  0.15839E+04 -0.24034E+04    -1216.8    -1007.3    -1264.8      47
       48.0000  0.00000E+00  0.16049E+04  0.00000E+00  0.15863E+04 -0.24034E+04    -1209.4    -1003.8    -1222.8      48
       49.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15875E+04 -0.24034E+04    -1200.0     -999.4    -1187.8      49
       50.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15875E+04 -0.24034E+04    -1188.7     -994.3    -1156.2      50
       51.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15875E+04 -0.24034E+04    -1176.9     -989.4    -1132.4      51
       52.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15875E+04 -0.24034E+04    -1165.0     -984.9    -1113.9      52
       53.0000  0.00000E+00  0.16060E+04  0.00000E+00  0.15875E+04 -0.24034E+04    -1153.4     -980.6    -1098.9      53
       54.0000  0.00000E+00  0.16096E+04  0.00000E+00  0.15910E+04 -0.24034E+04    -1147.2     -980.0    -1103.1      54
       55.0000  0.00000E+00  0.16295E+04  0.00000E+00  0.16102E+04 -0.24034E+04    -1163.9     -994.4    -1180.1      55
       56.0000  0.00000E+00  0.16657E+04  0.00000E+00  0.16448E+04 -0.24034E+04    -1206.1    -1024.1    -1322.0      56
       57.0000  0.00000E+00  0.17196E+04  0.00000E+00  0.16953E+04 -0.24034E+04    -1278.4    -1071.9    -1547.4      57
       58.0000  0.00000E+00  0.17922E+04  0.00000E+00  0.17619E+04 -0.24034E+04    -1387.4    -1141.2    -1894.8      58
       59.0000  0.00000E+00  0.18788E+04  0.00000E+00  0.18391E+04 -0.24034E+04    -1530.6    -1229.7    -2351.3      59
       60.0000  0.00000E+00  0.19666E+04  0.00000E+00  0.19151E+04 -0.24034E+04    -1685.0    -1322.5    -2804.1      60
