Layer_Name,Variable,Comparision,difference,pvalue,signif.,LCL,UCL,Layer_Name_Text,Depth_Top,Depth_Bottom,Depth_Range
Top,th,NT-NO - ST-CC,-0.014434126627747929,0.3436, ,-0.03694840003351818,0.008080146778022324,Top (0-20 cm),0,20,0 - 20 cm
Top,th,NT-NO - ST-NO,0.012842693858336335,0.3976, ,-0.009671579547433917,0.03535696726410659,Top (0-20 cm),0,20,0 - 20 cm
Top,th,ST-CC - ST-NO,0.027276820486084263,0.0871,.,0.004762547080314011,0.049791093891854515,Top (0-20 cm),0,20,0 - 20 cm
Top,th.diff,NT-CC - NT-NO,0.0075469426700550055,0.1567, ,-1.3514053047702403e-4,0.015229025870587035,Top (0-20 cm),0,20,0 - 20 cm
Top,th.diff,NT-CC - ST-CC,0.003360085025074573,0.5139, ,-0.004321998175457456,0.011042168225606603,Top (0-20 cm),0,20,0 - 20 cm
Top,th.diff,NT-CC - ST-NO,0.008322029100316396,0.1216, ,6.399458997843662e-4,0.016004112300848423,Top (0-20 cm),0,20,0 - 20 cm
Top,th.diff,NT-NO - ST-CC,-0.004186857644980432,0.4183, ,-0.011868940845512462,0.003495225555551597,Top (0-20 cm),0,20,0 - 20 cm
Top,th.diff,NT-NO - ST-NO,7.750864302613902e-4,0.8793, ,-0.006906996770270639,0.00845716963079342,Top (0-20 cm),0,20,0 - 20 cm
Top,th.diff,ST-CC - ST-NO,0.004961944075241823,0.3401, ,-0.002720139125290207,0.012644027275773852,Top (0-20 cm),0,20,0 - 20 cm
Top,VolumeW,NT-CC - NT-NO,0.15954791826002346,0.3148, ,-0.0743289536235518,0.3934247901435987,Top (0-20 cm),0,20,0 - 20 cm
Top,VolumeW,NT-CC - ST-CC,0.008448966114755319,0.9566, ,-0.22542790576881994,0.24232583799833057,Top (0-20 cm),0,20,0 - 20 cm
Top,VolumeW,NT-CC - ST-NO,0.2930243902095462,0.078,.,0.05914751832597093,0.5269012620931215,Top (0-20 cm),0,20,0 - 20 cm
Top,VolumeW,NT-NO - ST-CC,-0.15109895214526814,0.34, ,-0.3849758240288434,0.08277791973830712,Top (0-20 cm),0,20,0 - 20 cm
Top,VolumeW,NT-NO - ST-NO,0.13347647194952272,0.3973, ,-0.10040039993405253,0.367353343833098,Top (0-20 cm),0,20,0 - 20 cm
Top,VolumeW,ST-CC - ST-NO,0.28457542409479086,0.0859,.,0.05069855221121561,0.5184522959783662,Top (0-20 cm),0,20,0 - 20 cm
Top,wv.diff,NT-CC - NT-NO,0.0792458987478395,0.1537, ,-7.800096967713471e-4,0.15927180719245032,Top (0-20 cm),0,20,0 - 20 cm
Top,wv.diff,NT-CC - ST-CC,0.035343204183524435,0.5099, ,-0.044682704261086406,0.11536911262813528,Top (0-20 cm),0,20,0 - 20 cm
Top,wv.diff,NT-CC - ST-NO,0.08716680448042224,0.1197, ,0.007140896035811403,0.16719271292503307,Top (0-20 cm),0,20,0 - 20 cm
Top,wv.diff,NT-NO - ST-CC,-0.04390269456431506,0.4153, ,-0.1239286030089259,0.03612321388029578,Top (0-20 cm),0,20,0 - 20 cm
Top,wv.diff,NT-NO - ST-NO,0.00792090573258275,0.8815, ,-0.07210500271202809,0.08794681417719359,Top (0-20 cm),0,20,0 - 20 cm
Top,wv.diff,ST-CC - ST-NO,0.05182360029689781,0.3389, ,-0.02820230814771303,0.13184950874150864,Top (0-20 cm),0,20,0 - 20 cm
Subsurface,hMean,NT-CC - NT-NO,-54.18287499999997,0.5223, ,-180.61088605152406,72.24513605152413,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,hMean,NT-CC - ST-CC,-32.89212499999985,0.6961, ,-159.32013605152395,93.53588605152424,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,hMean,NT-CC - ST-NO,-101.75424999999996,0.2395, ,-228.18226105152405,24.67376105152414,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,hMean,NT-NO - ST-CC,21.290750000000116,0.8, ,-105.13726105152398,147.7187610515242,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,hMean,NT-NO - ST-NO,-47.57137499999999,0.5735, ,-173.99938605152408,78.8566360515241,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,hMean,ST-CC - ST-NO,-68.8621250000001,0.4186, ,-195.2901360515242,57.56588605152399,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,th,NT-CC - NT-NO,-0.02029935485437595,0.0625,.,-0.035506335794470156,-0.005092373914281743,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,th,NT-CC - ST-CC,-0.012484612234210046,0.2307, ,-0.027691593174304252,0.002722368705884161,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,th,NT-CC - ST-NO,-0.013599029640499832,0.1942, ,-0.028806010580594038,0.0016079512995943752,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,th,NT-NO - ST-CC,0.007814742620165904,0.4447, ,-0.007392238319928303,0.02302172356026011,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,th,NT-NO - ST-NO,0.006700325213876118,0.5109, ,-0.00850665572621809,0.021907306153970324,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,th,ST-CC - ST-NO,-0.001114417406289786,0.9121, ,-0.016321398346383992,0.014092563533804421,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,th.diff,NT-CC - NT-NO,-0.0055481198126871994,0.0445,*,-0.009350785323270671,-0.0017454543021037283,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,th.diff,NT-CC - ST-CC,-0.002228839318660525,0.3851, ,-0.006031504829243996,0.0015738261919229462,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,th.diff,NT-CC - ST-NO,-0.002711755764404064,0.2943, ,-0.006514421274987536,0.001090909746179407,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,th.diff,NT-NO - ST-CC,0.0033192804940266746,0.2043, ,-4.8338501655679654e-4,0.007121946004610146,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,th.diff,NT-NO - ST-NO,0.0028363640482831354,0.2737, ,-9.663014623003357e-4,0.006639029558866607,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,th.diff,ST-CC - ST-NO,-4.829164457435392e-4,0.8484, ,-0.004285581956327011,0.003319749064839932,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,VolumeW,NT-CC - NT-NO,-0.1885175564354693,0.0577,.,-0.3266801812555632,-0.05035493161537541,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,VolumeW,NT-CC - ST-CC,-0.1159399550718041,0.2212, ,-0.254102579891898,0.02222266974828979,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,VolumeW,NT-CC - ST-NO,-0.12768008821963228,0.1807, ,-0.2658427130397262,0.010482536600461612,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,VolumeW,NT-NO - ST-CC,0.0725776013636652,0.4349, ,-0.06558502345642869,0.2107402261837591,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,VolumeW,NT-NO - ST-NO,0.06083746821583702,0.5111, ,-0.07732515660425687,0.19900009303593091,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,VolumeW,ST-CC - ST-NO,-0.01174013314782818,0.8982, ,-0.14990275796792207,0.1264224916722657,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,wv.diff,NT-CC - NT-NO,-0.05154114939480564,0.0353,*,-0.08496266783180556,-0.018119630957805728,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,wv.diff,NT-CC - ST-CC,-0.020864525332803252,0.3559, ,-0.054286043769803165,0.01255699310419666,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,wv.diff,NT-CC - ST-NO,-0.026390738634605115,0.2479, ,-0.05981225707160503,0.007030779802394797,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,wv.diff,NT-NO - ST-CC,0.03067662406200239,0.1835, ,-0.002744894374997524,0.06409814249900231,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,wv.diff,NT-NO - ST-NO,0.025150410760200526,0.2696, ,-0.008271107676799387,0.05857192919720044,Subsurface (20-40 cm),20,40,20 - 40 cm
Subsurface,wv.diff,ST-CC - ST-NO,-0.005526213301801863,0.8036, ,-0.038947731738801776,0.02789530513519805,Subsurface (20-40 cm),20,40,20 - 40 cm
Bottom1,hMean,NT-CC - NT-NO,-105.48824999999988,0.5296, ,-356.09277746495184,145.11627746495208,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,hMean,NT-CC - ST-CC,-91.58174999999983,0.5844, ,-342.1862774649518,159.02277746495213,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,hMean,NT-CC - ST-NO,-206.69974999999977,0.2287, ,-457.3042774649517,43.90477746495219,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,hMean,NT-NO - ST-CC,13.906500000000051,0.9334, ,-236.6980274649519,264.511027464952,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,hMean,NT-NO - ST-NO,-101.21149999999989,0.5461, ,-351.81602746495184,149.39302746495207,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,hMean,ST-CC - ST-NO,-115.11799999999994,0.4934, ,-365.7225274649519,135.48652746495202,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,th,NT-CC - NT-NO,-0.0029615198743506155,0.5114, ,-0.009691057483154093,0.0037680177344528607,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,th,NT-CC - ST-CC,-0.0020871088558656603,0.6419, ,-0.008816646464669137,0.004642428752937816,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,th,NT-CC - ST-NO,-0.005187567959405559,0.2587, ,-0.011917105568209036,0.0015419696493979172,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,th,NT-NO - ST-CC,8.744110184849552e-4,0.845, ,-0.005855126590318521,0.007603948627288431,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,th,NT-NO - ST-NO,-0.0022260480850549436,0.6202, ,-0.00895558569385842,0.004503489523748533,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,th,ST-CC - ST-NO,-0.0031004591035398987,0.4921, ,-0.009829996712343376,0.0036290785052635775,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,th.diff,NT-CC - NT-NO,-0.0012761266159236478,0.6743, ,-0.0058333022268363,0.0032810489949890043,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,th.diff,NT-CC - ST-CC,-9.90697112480357e-4,0.7439, ,-0.005547872723393009,0.003566478498432295,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,th.diff,NT-CC - ST-NO,-0.002808988764044937,0.3618, ,-0.007366164374957589,0.0017481868468677154,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,th.diff,NT-NO - ST-CC,2.8542950344329077e-4,0.92490000000000006, ,-0.004271746107469361,0.004842605114355943,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,th.diff,NT-NO - ST-NO,-0.001532862148121289,0.6143, ,-0.006090037759033941,0.0030243134627913632,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,th.diff,ST-CC - ST-NO,-0.0018182916515645797,0.5509, ,-0.006375467262477232,0.0027388839593480725,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,VolumeW,NT-CC - NT-NO,-0.04816401904370515,0.5114, ,-0.1576083554984147,0.0612803174110044,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,VolumeW,NT-CC - ST-CC,-0.033943230147067904,0.6419, ,-0.14338756660177746,0.07550110630764165,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,VolumeW,NT-CC - ST-NO,-0.08436685640750952,0.2587, ,-0.19381119286221907,0.025077480047200035,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,VolumeW,NT-NO - ST-CC,0.014220788896637249,0.845, ,-0.0952235475580723,0.1236651253513468,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,VolumeW,NT-NO - ST-NO,-0.03620283736380436,0.6202, ,-0.14564717381851391,0.07324149909090519,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,VolumeW,ST-CC - ST-NO,-0.05042362626044161,0.4921, ,-0.15986796271515116,0.05902071019426794,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,wv.diff,NT-CC - NT-NO,-0.020754001066767502,0.6743, ,-0.09486861188214588,0.05336060974861087,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,wv.diff,NT-CC - ST-CC,-0.0161119818932538,0.7439, ,-0.09022659270863218,0.05800262892212457,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,wv.diff,NT-CC - ST-NO,-0.04568336329489597,0.3618, ,-0.11979797411027435,0.0284312475204824,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,wv.diff,NT-NO - ST-CC,0.004642019173513701,0.92490000000000006, ,-0.06947259164186467,0.07875662998889207,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom1,wv.diff,NT-NO - ST-NO,-0.02492936222812847,0.6143, ,-0.09904397304350684,0.0491852485872499,Bottom (40-60 cm),40,60,40 - 60 cm
