Depth_ID,Variable,Comparision,difference,pvalue,signif.,LCL,UCL
T,BD,NT-CC - NT-NO,-0.10000000000000009,0.1412, ,-0.19764812675809723,-0.0023518732419029464
T,BD,NT-CC - ST-CC,-0.012500000000000178,0.8472, ,-0.11014812675809732,0.08514812675809696
T,BD,NT-CC - ST-NO,0.022499999999999964,0.7292, ,-0.07514812675809718,0.1201481267580971
T,BD,NT-NO - ST-CC,0.08749999999999991,0.1933, ,-0.010148126758097231,0.18514812675809705
T,BD,NT-NO - ST-NO,0.12250000000000005,0.0777,.,0.02485187324190291,0.2201481267580972
T,BD,ST-CC - ST-NO,0.03500000000000014,0.5916, ,-0.062648126758097,0.13264812675809728
T,FC,NT-CC - NT-NO,-0.010166643317646717,0.5868, ,-0.03816778366096428,0.01783449702567084
T,FC,NT-CC - ST-CC,-0.061359054437260974,0.0056,**,-0.08936019478057854,-0.03335791409394341
T,FC,NT-CC - ST-NO,-0.03503268730486081,0.0784,.,-0.06303382764817837,-0.007031546961543251
T,FC,NT-NO - ST-CC,-0.051192411119614256,0.0157,*,-0.07919355146293182,-0.023191270776296697
T,FC,NT-NO - ST-NO,-0.024866043987214093,0.1971, ,-0.052867184330531655,0.0031350963561034666
T,FC,ST-CC - ST-NO,0.026326367132400164,0.1738, ,-0.0016747732109173956,0.054327507475717726
T,FC100,NT-CC - NT-NO,-0.010173395006908392,0.6712, ,-0.04613323817336961,0.025786448159552826
T,FC100,NT-CC - ST-CC,-0.046855447046304344,0.0682,.,-0.08281529021276557,-0.010895603879843126
T,FC100,NT-CC - ST-NO,-0.04268549320652293,0.0929,.,-0.07864533637298415,-0.006725650040061711
T,FC100,NT-NO - ST-CC,-0.03668205203939595,0.1427, ,-0.07264189520585718,-7.222088729347334e-4
T,FC100,NT-NO - ST-NO,-0.032512098199614536,0.1896, ,-0.06847194136607576,0.0034477449668466817
T,FC100,ST-CC - ST-NO,0.004169953839781415,0.8614, ,-0.0317898893266798,0.04012979700624263
T,K100,NT-CC - NT-NO,5.596532714197571e-4,0.3149, ,-2.6092778058023857e-4,0.001380234323419753
T,K100,NT-CC - ST-CC,-0.0010874527605551857,0.0642,.,-0.0019080338125551815,-2.6687170855519e-4
T,K100,NT-CC - ST-NO,-7.352609116656108e-4,0.1933, ,-0.0015558419636656066,8.53201403343849e-5
T,K100,NT-NO - ST-CC,-0.0016471060319749428,0.0094,**,-0.0024676870839749386,-8.265249799749471e-4
T,K100,NT-NO - ST-NO,-0.001294914183085368,0.0319,*,-0.0021154952350853637,-4.743331310853722e-4
T,K100,ST-CC - ST-NO,3.521918488895749e-4,0.5217, ,-4.683892031104208e-4,0.0011727729008895707
