Depth_ID,Variable,Comparision,difference,pvalue,signif.,LCL,UCL
B,BD,NT-NO - ST-NO,0.022500000000000187,0.5878, ,-0.03963594848695472,0.08463594848695509
B,BD,ST-CC - ST-NO,-0.03249999999999997,0.4368, ,-0.09463594848695488,0.02963594848695493
B,FC,NT-CC - NT-NO,-0.038190987606808224,0.0234,*,-0.0608177211335125,-0.015564254080103954
B,FC,NT-CC - ST-CC,-0.05679443452346783,0.0023,**,-0.0794211680501721,-0.034167700996763556
B,FC,NT-CC - ST-NO,-0.0343554460886652,0.0377,*,-0.05698217961536947,-0.011728712561960928
B,FC,NT-NO - ST-CC,-0.018603446916659605,0.2301, ,-0.04123018044336388,0.004023286610044665
B,FC,NT-NO - ST-NO,0.0038355415181430264,0.7987, ,-0.018791192008561244,0.026462275044847296
B,FC,ST-CC - ST-NO,0.02243898843480263,0.15310000000000001, ,-1.8774509190163866e-4,0.045065721961506905
B,FC100,NT-CC - NT-NO,-0.023597025082760403,0.2088, ,-0.05092194283036465,0.003727892664843843
B,FC100,NT-CC - ST-CC,-0.04765881719458942,0.0199,*,-0.07498373494219367,-0.020333899446985174
B,FC100,NT-CC - ST-NO,-0.030365773558452325,0.1131, ,-0.05769069130605657,-0.003040855810848078
B,FC100,NT-NO - ST-CC,-0.024061792111829017,0.2006, ,-0.05138670985943326,0.0032631256357752297
B,FC100,NT-NO - ST-NO,-0.006768748475691921,0.7099, ,-0.03409366622329617,0.020556169271912325
B,FC100,ST-CC - ST-NO,0.017293043636137095,0.3496, ,-0.010031874111467151,0.04461796138374134
B,K100,NT-CC - NT-NO,2.4177098975546236e-4,0.8814, ,-0.0021986352951774224,0.0026821772746883467
B,K100,NT-CC - ST-CC,2.1065346124472892e-4,0.8966, ,-0.0022297528236881557,0.0026510597461776135
B,K100,NT-CC - ST-NO,4.4302307609046104e-4,0.7848, ,-0.0019973832088424235,0.0028834293610233456
B,K100,NT-NO - ST-CC,-3.1117528510733435e-5,0.9847, ,-0.002471523813443618,0.0024092887564221514
B,K100,NT-NO - ST-NO,2.0125208633499868e-4,0.9012, ,-0.0022391541985978857,0.0026416583712678835
B,K100,ST-CC - ST-NO,2.3236961484573212e-4,0.886, ,-0.0022080366700871525,0.0026727758997786167
B,Ks,NT-CC - NT-NO,0.6334037661658694,0.1155, ,0.059247513069768054,1.2075600192619707
B,Ks,NT-CC - ST-CC,1.0094349804808467,0.0192,*,0.4352787273847454,1.583591233576948
B,Ks,NT-CC - ST-NO,0.9007758964624517,0.0327,*,0.3266196433663504,1.474932149558553
B,Ks,NT-NO - ST-CC,0.3760312143149773,0.3337, ,-0.19812503878112397,0.9501874674110786
B,Ks,NT-NO - ST-NO,0.26737213029658236,0.4876, ,-0.30678412279951894,0.8415283833926837
B,Ks,ST-CC - ST-NO,-0.10865908401839497,0.776, ,-0.6828153371144963,0.46549716907770633
B,PAW,NT-CC - NT-NO,0.0015109313027932836,0.9378, ,-0.027648455983046483,0.03067031858863305
B,PAW,NT-CC - ST-CC,-0.0317406169243534,0.12, ,-0.06090000421019316,-0.0025812296385136317
B,PAW,NT-CC - ST-NO,-0.01074879249129515,0.5812, ,-0.039908179777134914,0.018410594794544616
B,PAW,NT-NO - ST-CC,-0.03325154822714668,0.1049, ,-0.062410935512986446,-0.004092160941306915
B,PAW,NT-NO - ST-NO,-0.012259723794088434,0.5301, ,-0.0414191110799282,0.016899663491751333
B,PAW,ST-CC - ST-NO,0.020991824433058248,0.2899, ,-0.008167562852781519,0.05015121171889801
B,PAW100,NT-CC - NT-NO,0.016104893826841188,0.504, ,-0.019849208083209155,0.05205899573689153
B,PAW100,NT-CC - ST-CC,-0.022604999595474934,0.3527, ,-0.05855910150552528,0.013349102314575409
B,PAW100,NT-CC - ST-NO,-0.006759119961082222,0.7774, ,-0.042713221871132565,0.02919498194896812
B,PAW100,NT-NO - ST-CC,-0.03870989342231612,0.1237, ,-0.07466399533236646,-0.002755791512265779
B,PAW100,NT-NO - ST-NO,-0.02286401378792341,0.3474, ,-0.05881811569797375,0.013090088122126933
B,PAW100,ST-CC - ST-NO,0.015845879634392712,0.5107, ,-0.02010822227565763,0.051799981544443055
B,Porosity,NT-CC - NT-NO,0.019999999999999962,0.214, ,-0.003440175845739652,0.04344017584573957
B,Porosity,NT-CC - ST-CC,-0.0025000000000000022,0.8724, ,-0.025940175845739617,0.020940175845739612
B,Porosity,NT-CC - ST-NO,0.009999999999999953,0.5241, ,-0.013440175845739661,0.033440175845739564
B,Porosity,NT-NO - ST-CC,-0.022499999999999964,0.1656, ,-0.045940175845739575,9.401758457396499e-4
B,Porosity,NT-NO - ST-NO,-0.010000000000000009,0.5241, ,-0.03344017584573962,0.013440175845739605
B,Porosity,ST-CC - ST-NO,0.012499999999999956,0.4281, ,-0.010940175845739659,0.035940175845739566
B,WP,NT-CC - NT-NO,-0.039701918909601536,0.1168, ,-0.07583420494904042,-0.0035696328701626603
B,WP,NT-CC - ST-CC,-0.025053817599114486,0.3072, ,-0.06118610363855336,0.011078468440324389
B,WP,NT-CC - ST-NO,-0.023606653597370103,0.3348, ,-0.05973893963680898,0.012525632442068772
B,WP,NT-NO - ST-CC,0.01464810131048705,0.5446, ,-0.021484184728951826,0.050780387349925925
B,WP,NT-NO - ST-NO,0.016095265312231433,0.5063, ,-0.020037020727207443,0.05222755135167031
B,WP,ST-CC - ST-NO,0.0014471640017443832,0.9519, ,-0.03468512203769449,0.03757945004118326
