pF,logK_cmd,Sample_ID,Depth_text,Plot_ID,Depth_ID,Winter_Cover,Tillage_Type,Depth_Top,Depth_Bottom,Replicate,Distance_From_East_Edge_Approx_m,Sampled_Date
-1.677355,1.57,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.657315,1.57,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.637275,1.56,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.617234,1.56,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.597194,1.56,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.577154,1.55,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.557114,1.55,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.537074,1.55,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.517034,1.54,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.496994,1.54,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.476954,1.54,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.456914,1.53,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.436874,1.53,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.416834,1.52,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.396794,1.52,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.376753,1.52,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.356713,1.51,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.336673,1.51,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.316633,1.5,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.296593,1.5,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.276553,1.5,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.256513,1.49,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.236473,1.49,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.216433,1.48,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.196393,1.48,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.176353,1.48,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.156313,1.47,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.136273,1.47,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.116233,1.46,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.096192,1.46,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.076152,1.45,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.056112,1.45,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.036072,1.45,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-1.016032,1.44,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.995992,1.44,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.9759519,1.43,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.9559118,1.43,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.9358717,1.42,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.9158317,1.42,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.8957916,1.41,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.8757515,1.41,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.8557114,1.4,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.8356714,1.4,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.8156313,1.39,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.7955912,1.39,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.7755511,1.38,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.755511,1.38,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.735471,1.37,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.7154309,1.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.6953908,1.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.6753507,1.35,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.6553106,1.35,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.6352705,1.34,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.6152304,1.34,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.5951904,1.33,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.5751503,1.32,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.5551102,1.32,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.5350701,1.31,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.5150301,1.31,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.49499,1.3,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.4749499,1.29,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.4549098,1.29,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.4348697,1.28,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.4148297,1.27,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.3947896,1.27,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.3747495,1.26,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.3547094,1.25,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.3346694,1.25,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.3146293,1.24,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.2945892,1.23,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.2745491,1.22,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.254509,1.22,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.2344689,1.21,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.2144289,1.2,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.1943888,1.19,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.1743487,1.19,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.1543086,1.18,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.1342685,1.17,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.1142285,1.16,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.09418838,1.15,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.0741483,1.15,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.05410822,1.14,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.03406814,1.13,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
-0.01402806,1.12,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.006012024,1.11,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.0260521,1.1,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.04609219,1.09,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.06613226,1.08,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.08617234,1.07,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.1062124,1.07,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.1262525,1.06,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.1462926,1.05,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.1663327,1.04,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.1863727,1.03,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.2064128,1.01,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.2264529,1,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.246493,0.99,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.2665331,0.98,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.2865731,0.97,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.3066132,0.96,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.3266533,0.95,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.3466934,0.94,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.3667335,0.92,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.3867736,0.91,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.4068136,0.9,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.4268537,0.89,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.4468938,0.87,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.4669339,0.86,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.4869739,0.85,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.507014,0.84,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.5270541,0.82,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.5470942,0.81,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.5671343,0.79,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.5871744,0.78,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.6072145,0.76,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.6272545,0.75,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.6472946,0.73,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.6673347,0.72,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.6873748,0.7,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.7074148,0.69,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.7274549,0.67,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.747495,0.65,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.7675351,0.63,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.7875751,0.62,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.8076152,0.6,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.8276553,0.58,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.8476954,0.56,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.8677354,0.54,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.8877755,0.52,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.9078156,0.5,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.9278557,0.48,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.9478958,0.46,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.9679359,0.44,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
0.987976,0.42,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.008016,0.4,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.028056,0.38,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.048096,0.36,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.068136,0.33,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.088176,0.31,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.108216,0.29,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.128257,0.26,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.148297,0.24,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.168337,0.21,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.188377,0.19,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.208417,0.16,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.228457,0.14,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.248497,0.11,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.268537,0.08,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.288577,0.06,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.308617,0.03,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.328657,0,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.348697,-0.03,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.368737,-0.06,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.388778,-0.09,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.408818,-0.12,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.428858,-0.15,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.448898,-0.18,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.468938,-0.21,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.488978,-0.24,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.509018,-0.27,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.529058,-0.3,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.549098,-0.33,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.569138,-0.37,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.589178,-0.4,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.609218,-0.43,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.629259,-0.46,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.649299,-0.5,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.669339,-0.53,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.689379,-0.57,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.709419,-0.6,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.729459,-0.63,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
