Layer_Number,Variable,Trt,mean,std,r,LCL,UCL,Min,Max,Q25,Q50,Q75,groups,stder,Layer,Depth_Top,Depth_Bottom,Depth_Range,Layer_Name,Layer_Number_Text
0,hMean,NT-CC,-2449.55,175.0849412904109,4,-2594.347507287244,-2304.7524927127565,-2696.6,-2292.9,-2502.875,-2404.3500000000004,-2351.025,a,87.54247064520546,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,hMean,NT-NO,-2370.175,273.24188765024047,4,-2514.972507287244,-2225.3774927127565,-2641.7,-2023,-2553.3500000000004,-2408,-2224.825,a,136.62094382512024,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,hMean,ST-CC,-2393.225,162.45486296199314,4,-2538.0225072872436,-2248.4274927127562,-2590.1,-2194.9,-2460.4249999999997,-2393.95,-2326.75,a,81.22743148099657,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,hMean,ST-NO,-2278.95,100.58808743252526,4,-2423.7475072872435,-2134.152492712756,-2373.4,-2191.7,-2362.15,-2275.3500000000004,-2192.15,a,50.29404371626263,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,th,NT-CC,0.17986097465120848,0.004754206762358122,4,0.17563941870126595,0.184082530601151,0.174778934957752,0.18496757712713696,0.17646639811357828,0.1798486932599725,0.18324326979760266,a,0.002377103381179061,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,th,NT-NO,0.18214040086460995,0.00790969550053219,4,0.17791884491466742,0.18636195681455248,0.17063273727647868,0.1874729809392808,0.18010168991943407,0.18522794262134012,0.187266653566516,a,0.003954847750266095,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,th,ST-CC,0.1830418549813323,0.004232149600109466,4,0.17882029903138977,0.18726341093127483,0.1783258007467086,0.18693259972489684,0.18005010807624286,0.18345450972686184,0.18644625663195127,a,0.002116074800054733,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,th,ST-NO,0.17934761249754372,0.004180413354696229,4,0.1751260565476012,0.18356916844748625,0.17605619964629593,0.18508547848300255,0.17634358420121832,0.17812438593043822,0.18112841422676362,a,0.0020902066773481145,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,th.diff,NT-CC,0.024309785812536844,4.747590433450228e-4,4,0.024027705186344533,0.024591866438729154,0.023786598545883275,0.024857535861662422,0.024000294753389655,0.02429750442130084,0.024606995480448028,a,2.373795216725114e-4,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,th.diff,NT-NO,0.02450874435056003,3.7192951917366815e-4,4,0.02422666372436772,0.02479082497675234,0.024209078404401646,0.025034387895460808,0.02426802908233445,0.024395755551188836,0.02463647081941442,a,1.8596475958683408e-4,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,th.diff,ST-CC,0.02443751228139123,2.3977771736711752e-4,4,0.02415543165519892,0.02471959290758354,0.024110827274513635,0.024670858714875205,0.024346629986244844,0.024484181568088043,0.02457506386323443,a,1.1988885868355876e-4,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,th.diff,ST-NO,0.024432599724896843,3.4208469951960987e-4,4,0.024150519098704533,0.024714680351089154,0.02408135193554728,0.02475928473177441,0.024169777952446472,0.02444488111613284,0.024707702888583212,a,1.7104234975980493e-4,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,VolumeW,NT-CC,17.984754178864254,0.4753851695862044,4,17.562630112433105,18.406878245295403,17.47658816457856,18.49537628795075,17.645321877393577,17.983526131463854,18.32295843293453,a,0.2376925847931022,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,VolumeW,NT-NO,18.21267977637857,0.7909104767312811,4,17.790555709947423,18.63480384280972,17.061999362203373,18.74589795763244,18.008823907912102,18.521410892839242,18.72526676130571,a,0.39545523836564056,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,VolumeW,ST-CC,18.302818455567966,0.42318335232948756,4,17.880694389136817,18.724942521999115,17.831248253814202,18.69186387201482,18.003666108830423,18.34408084822142,18.643233194958963,a,0.21159167616474378,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,VolumeW,ST-NO,17.933421797527515,0.41801011417874995,4,17.511297731096366,18.355545863958664,17.6043050942202,18.507165542994596,17.633041403389573,17.811108276447634,18.11148867058558,a,0.20900505708937497,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,wv.diff,NT-CC,2.4307970243526054,0.0474723586109257,4,2.4025910684440115,2.4590029802611992,2.3784822050955476,2.4855679384104636,2.3998502298625146,2.429568976952205,2.460515771442296,a,0.02373617930546285,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,wv.diff,NT-NO,2.450691392239092,0.03719017417298729,4,2.422485436330498,2.4788973481476857,2.4207270356693193,2.5032518209762316,2.4266216631912436,2.439393356155408,2.4634630852032564,a,0.018595087086493645,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
0,wv.diff,ST-CC,2.443568717316771,0.023975980964070748,4,2.415362761408177,2.4717746732253647,2.4109026564661207,2.4669016179243783,2.434481166553807,2.448235297438292,2.457322848201256,a,0.011987990482035374,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
