pF,logK_cmd,manual,Sample_ID,Depth_text,Plot_ID,Depth_ID,Winter_Cover,Tillage_Type,Depth_Top,Depth_Bottom,Replicate,Distance_From_East_Edge_Approx_m,Sampled_Date
2.253,-1.98,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.281,-2.05,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.31,-2.09,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.342,-2.16,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.376,-2.24,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.412,-2.33,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.451,-2.43,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.489,-2.55,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.524,-2.67,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.555,-2.74,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.586,-2.81,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.615,-2.85,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.643,-2.96,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.671,-3.03,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.697,-3.1,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.72,-3.22,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.742,-3.24,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.765,-3.25,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.789,-3.26,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.816,-3.31,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.845,-3.38,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.876,-3.44,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.91,-3.47,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.946,-3.57,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
3.467,-4.72,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
-1,2.18,1,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.03,-0.64,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.062,-0.78,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.096,-0.93,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.128,-1.09,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.158,-1.22,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.184,-1.37,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.21,-1.44,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.236,-1.56,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.264,-1.66,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.297,-1.78,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.336,-1.92,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.376,-2.06,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.414,-2.24,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.45,-2.35,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.486,-2.46,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.521,-2.56,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.556,-2.64,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.591,-2.76,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.627,-2.84,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.662,-2.93,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.697,-3.01,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.731,-3.06,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.768,-3.18,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.807,-3.29,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.848,-3.42,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.889,-3.52,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
2.929,-3.65,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
3.454,-4.77,NA,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
-1,2.15,1,21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
1.935,-0.52,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
1.965,-0.66,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
1.992,-0.79,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.016,-0.9,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.038,-1.01,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.06,-1.1,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.083,-1.2,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.107,-1.28,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.134,-1.38,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.163,-1.51,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.196,-1.59,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.23,-1.73,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.264,-1.81,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.297,-1.91,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.33,-2.01,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.365,-2.1,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.401,-2.18,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.437,-2.29,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.474,-2.36,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.511,-2.46,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.548,-2.53,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.586,-2.61,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.626,-2.72,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.668,-2.81,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.712,-2.87,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.754,-2.98,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.792,-3.06,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
2.828,-3.17,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
3.646,-4.73,NA,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
-1,2.35,1,21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
1.822,-0.51,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
1.84,-0.62,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
1.858,-0.73,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
1.877,-0.82,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
1.897,-0.88,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
1.917,-1.02,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
1.937,-1.09,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
1.956,-1.17,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
1.977,-1.23,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
1.998,-1.32,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.019,-1.39,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.04,-1.45,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.061,-1.56,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.081,-1.65,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.099,-1.74,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.118,-1.8,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.136,-1.88,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.154,-1.98,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.171,-2.11,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.188,-2.12,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.205,-2.14,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.221,-2.25,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.237,-2.31,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.254,-2.29,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.27,-2.41,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.287,-2.4,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.303,-2.47,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.32,-2.5,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.336,-2.6,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.353,-2.61,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.372,-2.66,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.391,-2.7,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.411,-2.74,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.432,-2.78,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.455,-2.84,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.479,-2.9,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.505,-2.95,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.532,-3.04,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.559,-3.18,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.586,-3.25,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.613,-3.3,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.64,-3.35,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.668,-3.41,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.696,-3.49,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.724,-3.59,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.753,-3.63,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.782,-3.69,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.811,-3.75,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
2.84,-3.75,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
3.406,-4.75,NA,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
-1,1.53,1,22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
1.766,-0.55,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
1.796,-0.67,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
1.824,-0.82,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
1.848,-0.94,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
1.868,-1,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
1.887,-1.07,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
1.907,-1.16,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
1.93,-1.24,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
1.957,-1.34,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
1.986,-1.44,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
2.018,-1.52,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
2.05,-1.66,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
2.082,-1.77,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
2.115,-1.87,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
2.149,-1.97,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
2.186,-2.05,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
2.225,-2.17,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
2.267,-2.26,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
2.312,-2.35,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
2.358,-2.45,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
2.409,-2.52,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
2.464,-2.64,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
2.522,-2.76,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
2.58,-2.87,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
2.637,-2.97,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
2.694,-3.06,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
2.749,-3.19,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
2.8,-3.27,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
3.702,-4.53,NA,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
-1,2.89,1,22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
1.288,-0.35,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.324,-0.39,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.36,-0.49,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.396,-0.55,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.433,-0.59,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.473,-0.66,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.512,-0.75,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.55,-0.8,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.586,-0.89,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.621,-0.95,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.657,-1.02,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.691,-1.09,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.725,-1.17,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.755,-1.22,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.781,-1.26,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.808,-1.41,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.836,-1.41,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.861,-1.47,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.887,-1.59,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.912,-1.63,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.936,-1.67,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.957,-1.72,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.975,-1.8,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.993,-1.82,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.01,-1.87,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.026,-1.91,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.041,-1.94,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.056,-2.02,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.071,-2.04,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.086,-2.05,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.102,-2.09,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.119,-2.13,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.138,-2.21,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.157,-2.2,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.177,-2.22,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.197,-2.34,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.218,-2.3,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.239,-2.41,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.262,-2.42,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.286,-2.49,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.311,-2.55,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.335,-2.6,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.359,-2.69,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.383,-2.75,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.406,-2.83,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.428,-2.87,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.45,-2.91,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.472,-2.95,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.493,-3.03,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.514,-3.04,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.533,-3.1,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.551,-3.18,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.569,-3.17,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.587,-3.23,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.605,-3.27,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
2.621,-3.29,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
3.397,-4.68,NA,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
-1,1.8,1,23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
1.599,-0.29,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
1.632,-0.49,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
1.67,-0.49,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
1.704,-0.55,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
1.73,-0.7,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
1.758,-0.77,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
1.789,-0.88,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
1.818,-1.02,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
1.849,-1.06,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
1.885,-1.1,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
1.92,-1.14,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
1.95,-1.3,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
1.978,-1.43,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.007,-1.5,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.034,-1.61,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.06,-1.69,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.084,-1.78,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.104,-1.78,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.125,-1.85,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.148,-1.99,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.175,-2.01,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.206,-2.09,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.236,-2.16,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.268,-2.2,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.304,-2.27,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.34,-2.34,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.375,-2.44,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.407,-2.51,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.437,-2.55,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.47,-2.62,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.506,-2.68,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.541,-2.73,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.578,-2.77,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.616,-2.85,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.651,-2.95,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.696,-2.98,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.745,-3.04,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
2.801,-3.15,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
3.737,-4.53,NA,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
-1,1.89,1,23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
1.768,-0.48,NA,24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
1.795,-0.59,NA,24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
1.821,-0.75,NA,24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
1.846,-0.91,NA,24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
1.871,-1.05,NA,24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
1.894,-1.22,NA,24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
1.915,-1.3,NA,24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
1.936,-1.39,NA,24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
1.958,-1.49,NA,24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
1.981,-1.58,NA,24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
2.009,-1.62,NA,24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
2.039,-1.78,NA,24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
2.07,-1.88,NA,24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
2.101,-2.02,NA,24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
2.131,-2.12,NA,24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
2.162,-2.22,NA,24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
2.196,-2.31,NA,24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
2.231,-2.43,NA,24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
2.265,-2.5,NA,24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
2.3,-2.59,NA,24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
