pF,logK_cmd,manual,Sample_ID,Depth_text,Plot_ID,Depth_ID,Winter_Cover,Tillage_Type,Depth_Top,Depth_Bottom,Replicate,Distance_From_East_Edge_Approx_m,Sampled_Date
2.589,-2.86,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.639,-2.95,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.689,-3.02,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.733,-3.15,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.772,-3.25,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.813,-3.26,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.86,-3.28,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.915,-3.29,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
2.983,-3.39,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
3.625,-4.5,NA,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
-1,3.1,1,13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
1.34,-0.47,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.352,-0.4,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.742,-0.72,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.764,-0.8,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.79,-0.72,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.815,-0.89,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.839,-1,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.861,-1.11,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.882,-1.19,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.906,-1.25,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.931,-1.35,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.953,-1.51,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.978,-1.59,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.005,-1.67,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.027,-1.74,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.049,-1.8,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.071,-1.86,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.094,-1.93,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.115,-1.98,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.137,-2.05,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.158,-2.11,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.178,-2.17,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.198,-2.24,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.217,-2.34,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.235,-2.43,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.253,-2.47,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.271,-2.49,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.29,-2.52,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.309,-2.59,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.329,-2.58,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.349,-2.59,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.37,-2.61,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.392,-2.65,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.415,-2.67,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.44,-2.7,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.466,-2.76,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.492,-2.8,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.521,-2.86,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.549,-2.93,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.578,-3.01,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.607,-3.11,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.635,-3.23,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.662,-3.26,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.689,-3.31,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.716,-3.37,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.743,-3.43,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
2.77,-3.45,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
3.472,-4.65,NA,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
-1,1.11,1,14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
1.8,-0.6,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
1.83,-0.74,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
1.858,-0.89,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
1.887,-1.04,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
1.917,-1.16,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
1.951,-1.28,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
1.989,-1.42,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
2.031,-1.54,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
2.081,-1.65,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
2.138,-1.82,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
2.201,-1.99,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
2.267,-2.17,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
2.332,-2.33,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
2.397,-2.46,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
2.463,-2.6,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
2.529,-2.79,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
2.594,-2.88,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
2.662,-2.98,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
2.736,-3.11,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
2.816,-3.24,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
2.9,-3.37,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
3.609,-4.63,NA,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
-1,3.02,1,14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
1.726,-0.46,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
1.779,-0.47,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
1.805,-0.6,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
1.83,-0.72,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
1.854,-0.84,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
1.879,-0.97,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
1.904,-1.09,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
1.929,-1.2,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
1.954,-1.33,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
1.981,-1.42,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.008,-1.54,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.036,-1.66,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.064,-1.76,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.094,-1.86,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
