Trt,mean,std,r,Min,Max,Q25,Q50,Q75,groups,stder,Depth_text,psd_group,Variable
ST-NO,0.062055997438680524,0.001712524375634956,172,0.05979711521626203,0.06412455909018093,0.060764830999081795,0.06215115772413958,0.06344232416373831,a,1.3057875947203364e-4,0 - 5 cm,0.2-10,ln.r_area_porosity
NT-CC,0.007178665785945897,0.0014561652871408729,172,0.004256322313390681,0.010764995952738832,0.006250673289107833,0.0072605644800197155,0.007769256745578934,b,1.1103156222847495e-4,0 - 5 cm,0.2-10,Sr.diff
NT-NO,0.007581934082671627,0.00317098827151922,172,0.001412469107414216,0.012976930867638181,0.005078012464391324,0.0075175390366185035,0.010463620700949972,b,2.4178558897406914e-4,0 - 5 cm,0.2-10,Sr.diff
ST-CC,0.007345859599153342,0.0038280040350348386,172,-4.234986783543393e-4,0.013694625091237866,0.0042744138319270875,0.00741065047788636,0.010066479551826851,b,2.918825712851274e-4,0 - 5 cm,0.2-10,Sr.diff
ST-NO,0.009087011498227125,0.0033760272024540845,172,0.0013279209011609616,0.013935497956656162,0.006372468548468846,0.010063198017359665,0.01188842673154658,a,2.574196608891154e-4,0 - 5 cm,0.2-10,Sr.diff
NT-CC,0.0090640809315502,0.0010097623750853673,68,0.007780131563427059,0.010119071135163353,0.00824060681247182,0.009178560513805195,0.010002034632883575,c,1.2245167438975081e-4,0 - 5 cm,10-50,ln.r_area
NT-NO,0.011625885877070951,8.905866347963083e-4,68,0.010548211059054917,0.01268199090930718,0.010875917985349565,0.011636670769960854,0.012386638661682242,b,1.0799949305966351e-4,0 - 5 cm,10-50,ln.r_area
ST-CC,0.011989491101738338,0.0014887269802993479,68,0.010353432061917366,0.013706166534264645,0.010615306522864777,0.01194918290538567,0.01332336748425923,ab,1.8053466433767744e-4,0 - 5 cm,10-50,ln.r_area
ST-NO,0.012215346501310793,0.0018260486684414832,68,0.009531662055420852,0.014550061153690117,0.011328449152458864,0.012389831398066101,0.013276728746918032,a,2.2144092757360933e-4,0 - 5 cm,10-50,ln.r_area
NT-CC,0.016197065082709163,0.001731192677729536,68,0.013414019936943206,0.017752756377479566,0.015460377910418599,0.016810742008206935,0.0175474291804975,c,2.09937949075728e-4,0 - 5 cm,10-50,ln.r_area_porosity
NT-NO,0.022472829541453423,0.0029966829737968674,68,0.018836091176883778,0.026982959381504638,0.02059892095690275,0.02203613380371264,0.023910042388263313,a,3.6340118904278014e-4,0 - 5 cm,10-50,ln.r_area_porosity
ST-CC,0.021704624108807406,0.003327529812043468,68,0.017850744934340287,0.026358012565893547,0.019057138065194955,0.0213048694674979,0.02395235551111035,ab,4.0352226139549706e-4,0 - 5 cm,10-50,ln.r_area_porosity
ST-NO,0.021380805871642775,0.0027696322127066892,68,0.01733029464621973,0.02508631233394848,0.0203979294257141,0.021553308253201446,0.022536184699130123,b,3.3586723991478937e-4,0 - 5 cm,10-50,ln.r_area_porosity
NT-CC,0.006160850699752584,7.361136624268038e-4,68,0.004790537876049217,0.007312529019209868,0.005606469647705781,0.006320010534496323,0.006748362756457071,b,8.926689360723454e-5,0 - 5 cm,10-50,Sr.diff
NT-NO,0.007893587141581254,8.095827807477413e-4,68,0.006339231626208974,0.00962846097972514,0.007354310365566941,0.007705594545804939,0.00861310113424199,a,9.8176332873652975e-005,0 - 5 cm,10-50,Sr.diff
ST-CC,0.008147469314900868,0.0015164550351599504,68,0.0064863130771206645,0.01188220993746436,0.006981889539629665,0.007490017653414227,0.00894559278065954,a,1.8389718489600641e-4,0 - 5 cm,10-50,Sr.diff
