Depth_ID,Variable,Trt,mean,std,r,LCL,UCL,Min,Max,Q25,Q50,Q75,groups,stder
T,BD,NT-CC,1.165,0.06557438524301996,4,1.095952347399186,1.2340476526008142,1.11,1.26,1.1325,1.145,1.1775,b,0.03278719262150998
T,BD,NT-NO,1.2650000000000001,0.1405939780597542,4,1.195952347399186,1.3340476526008143,1.12,1.4,1.1575000000000002,1.27,1.3775,a,0.0702969890298771
T,BD,ST-CC,1.1775000000000002,0.06020797289396143,4,1.108452347399186,1.2465476526008143,1.12,1.26,1.1425,1.165,1.2000000000000002,ab,0.030103986446980716
T,BD,ST-NO,1.1425,0.06751543033509691,4,1.073452347399186,1.2115476526008142,1.07,1.2,1.0925,1.15,1.2,b,0.033757715167548455
T,FC,NT-CC,0.3521104327124202,0.009056579990713527,4,0.33231063649470416,0.37191022893013626,0.3411234254387508,0.3628463947668247,0.3477758986071117,0.35223595532205265,0.35657048942736114,c,0.004528289995356764
T,FC,NT-NO,0.3622770760300669,0.03753851482928946,4,0.3424772798123509,0.382076872247783,0.32556720683824936,0.41470878494903274,0.3457874739573065,0.3544161561664928,0.37090575823925315,bc,0.01876925741464473
T,FC,ST-CC,0.4134694871496812,0.020216101325848907,4,0.39366969093196513,0.43326928336739723,0.3959655271996318,0.43159292500649604,0.3959682504554919,0.4131597481962984,0.43066098489048776,a,0.010108050662924454
T,FC,ST-NO,0.387143120017281,0.02742305930682749,4,0.36734332379956497,0.40694291623499707,0.3641364500102246,0.42564584532987176,0.3696691670260193,0.3793950923645138,0.3968690453557755,ab,0.013711529653413745
T,FC100,NT-CC,0.4074321828913256,0.016353832150220834,4,0.3820047339379161,0.4328596318447351,0.38556521739130434,0.4246916666666667,0.4015935770750988,0.4097359237536657,0.41557452956989244,c,0.008176916075110417
T,FC100,NT-NO,0.417605577898234,0.05251333920204745,4,0.3921781289448245,0.4430330268516435,0.37729473684210524,0.4941857142857143,0.38798007955936353,0.3994709302325582,0.4290964285714286,bc,0.026256669601023724
T,FC100,ST-CC,0.45428762993762994,0.018150248216189376,4,0.42886018098422046,0.4797150788910394,0.42854615384615385,0.46993513513513513,0.4487384615384616,0.4593346153846154,0.46488378378378375,a,0.009075124108094688
T,FC100,ST-NO,0.45011767609784853,0.03192262190547536,4,0.42469022714443905,0.475545125051258,0.42514444444444444,0.495,0.4285264957264957,0.44016312997347484,0.4617543103448276,ab,0.01596131095273768
T,K100,NT-CC,0.003102511059288263,8.473067764052902e-4,4,0.002522272632905875,0.003682749485670651,0.002500542495479201,0.004357531760435572,0.0026775746482600457,0.00277598499061914,0.003200921401647358,bc,4.236533882026451e-4
T,K100,NT-NO,0.002542857787868506,9.857437436399216e-4,4,0.001962619361486118,0.003123096214250894,0.0015636022514071302,0.0038758052970651402,0.0019841383466147697,0.002366011801500877,0.002924731242754613,c,4.928718718199608e-4
T,K100,ST-CC,0.004189963819843449,6.29729944650785e-4,4,0.003609725393461061,0.004770202246225837,0.003423416506717851,0.004813770959686052,0.0038130517416709456,0.004261333906484947,0.004638245984657449,a,3.148649723253925e-4
T,K100,ST-NO,0.003837771970953874,4.3732109570917616e-4,4,0.003257533544571486,0.004418010397336262,0.003345429740791266,0.004342857142857141,0.003563555799205995,0.0038314005000835436,0.004105616671831422,ab,2.1866054785458808e-4
T,Ks,NT-CC,3.1695308608024835,0.401063696478376,4,2.893891994978193,3.445169726626774,2.733678655677088,3.518171633602262,2.876396387575876,3.2131365769652915,3.5062710501918994,a,0.200531848239188
T,Ks,NT-NO,2.4160208298063637,0.17682611867201586,4,2.1403819639820734,2.691659695630654,2.17376882313665,2.595055089759304,2.3618584382391976,2.4476297031647505,2.501792094731917,c,0.08841305933600793
T,Ks,ST-CC,2.83155713088128,0.47989152632216464,4,2.55591826505699,3.1071959967055705,2.4119562379304016,3.522718026587241,2.6164884575019958,2.6957771295037394,2.9108458028830233,ab,0.23994576316108232
T,Ks,ST-NO,2.5994091177164256,0.30253098382767063,4,2.3237702518921353,2.875047983540716,2.149834696715785,2.784617292632875,2.556101315805062,2.7315922407585207,2.774900042669884,bc,0.15126549191383531
T,PAW,NT-CC,0.12752925089856854,0.01122038258536025,4,0.10421153619491155,0.15084696560222552,0.11548273408864121,0.14101313593605325,0.1202389646823099,0.12681056678478986,0.13410085300104851,b,0.005610191292680125
T,PAW,NT-NO,0.15543609661961405,0.03136359512960601,4,0.13211838191595707,0.17875381132327103,0.12358221381977044,0.1960313764560954,0.13580645146800385,0.1510653981012952,0.1706950432529054,b,0.015681797564803004
T,PAW,ST-CC,0.18941746439554302,0.0380642596207545,4,0.16609974969188604,0.2127351790992,0.14922046290928337,0.2251252583187048,0.16088697422959533,0.19166206817709194,0.2201925583430396,a,0.01903212981037725
T,PAW,ST-NO,0.19315549900513804,0.03345853206682476,4,0.16983778430148105,0.21647321370879502,0.15197140017207253,0.22691216024123745,0.17384334579597882,0.1968692178036211,0.21618137101278034,a,0.01672926603341238
T,PAW100,NT-CC,0.18285100107747396,0.01309708629226627,4,0.15241439895019676,0.21328760320475115,0.16794057674413163,0.1965226518836341,0.17416405716748326,0.18347038784106506,0.19215733175105576,c,0.006548543146133135
T,PAW100,NT-NO,0.21076459848778115,0.059070972946161295,4,0.18032799636050395,0.24120120061505834,0.14834938766488345,0.27550830579277696,0.1684260782761244,0.20960035024673207,0.2519388704583888,bc,0.029535486473080647
T,PAW100,ST-CC,0.23023560718349179,0.03587652652787889,4,0.1997990050562146,0.26067220931076895,0.18180108955580543,0.25797492013355316,0.21365718531256503,0.24058320952230428,0.257161631393231,ab,0.017938263263939446
T,PAW100,ST-NO,0.2561300550857056,0.03631045835184227,4,0.22569345295842838,0.28656665721298274,0.2174887963156941,0.2962663149113657,0.2304459736417544,0.2553825545578812,0.2810666360018324,a,0.018155229175921134
T,Porosity,NT-CC,0.56,0.027080128015453196,4,0.5324747676352675,0.5875252323647326,0.52,0.58,0.5575000000000001,0.5700000000000001,0.5725,ab,0.013540064007726598
T,Porosity,NT-NO,0.5225,0.055602757725374236,4,0.4949747676352674,0.5500252323647326,0.47000000000000003,0.58,0.47750000000000004,0.52,0.5650000000000001,b,0.027801378862687118
T,Porosity,ST-CC,0.555,0.026457513110645894,4,0.5274747676352675,0.5825252323647326,0.52,0.58,0.5425,0.56,0.5725,ab,0.013228756555322947
T,Porosity,ST-NO,0.5700000000000001,0.024494897427831744,4,0.5424747676352675,0.5975252323647327,0.55,0.6,0.55,0.565,0.585,a,0.012247448713915872
T,WP,NT-CC,0.22458118181385164,0.01239495455893019,4,0.2091116028095421,0.24005076081816118,0.20932666674937053,0.23899578689223203,0.2187066108104212,0.225001136806902,0.23087570781033243,a,0.006197477279465095
T,WP,NT-NO,0.20684097941045285,0.029522950244836754,4,0.1913714004061433,0.22231055841476238,0.16331760798640726,0.22894534917722179,0.20314706598553556,0.21755048023909118,0.22124439366400844,ab,0.014761475122418377
T,WP,ST-CC,0.22405202275413816,0.018633212093296617,4,0.20858244374982865,0.23952160175844767,0.20522507986644686,0.24674506429034843,0.21108971995812034,0.22211897342987869,0.23508127622589653,a,0.009316606046648308
T,WP,ST-NO,0.19398762101214295,0.015695470656323943,4,0.17851804200783344,0.20945720001645246,0.17467233742778213,0.21216504983815207,0.18645264312744797,0.1945565483913188,0.20209152627601376,b,0.007847735328161971
B,BD,NT-CC,1.44,0.011547005383792526,4,1.396063249469416,1.4839367505305838,1.43,1.45,1.43,1.44,1.45,a,0.005773502691896263
B,BD,NT-NO,1.495,0.036968455021364754,4,1.4510632494694162,1.538936750530584,1.45,1.54,1.48,1.495,1.51,a,0.018484227510682377
B,BD,ST-CC,1.44,0.0734846922834953,4,1.396063249469416,1.4839367505305838,1.3800000000000001,1.54,1.3875,1.42,1.4725,a,0.03674234614174765
B,BD,ST-NO,1.4725,0.07847504911329042,4,1.428563249469416,1.5164367505305838,1.4,1.55,1.4074999999999998,1.47,1.535,a,0.03923752455664521
B,FC,NT-CC,0.3160168148571671,0.016827190521658385,4,0.3000172981443335,0.3320163315700007,0.3006839623968994,0.3334009382542658,0.30207612132370837,0.31499117938875154,0.32893187292221027,b,0.008413595260829193
