Layer_Number,Variable,Comparision,difference,pvalue,signif.,LCL,UCL,Layer,Depth_Top,Depth_Bottom,Depth_Range,Layer_Name,Layer_Number_Text
1,hMean,ST-CC - ST-NO,78.30450000000019,0.7684, ,-321.47960555078123,478.0886055507816,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,th,NT-CC - NT-NO,0.018993012005017018,0.2166, ,-0.0034018639306714095,0.04138788794070544,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,th,NT-CC - ST-CC,0.002642895538433998,0.859, ,-0.01975198039725443,0.025037771474122426,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,th,NT-CC - ST-NO,0.03186256943200144,0.0492,*,0.009467693496313014,0.054257445367689866,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,th,NT-NO - ST-CC,-0.01635011646658302,0.2835, ,-0.038744992402271444,0.0060447594691054075,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,th,NT-NO - ST-NO,0.012869557426984424,0.3942, ,-0.009525318508704004,0.03526443336267285,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,th,ST-CC - ST-NO,0.029219673893567444,0.0679,.,0.006824797957879016,0.05161454982925587,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,th.diff,NT-CC - NT-NO,0.008972406378785151,0.1121, ,9.233617691093415e-4,0.01702145098846096,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,th.diff,NT-CC - ST-CC,0.004100967568536111,0.4485, ,-0.003948077041139699,0.012150012178211921,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,th.diff,NT-CC - ST-NO,0.009514423938362306,0.0941,.,0.0014653793286864957,0.017563468548038114,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,th.diff,NT-NO - ST-CC,-0.00487143881024904,0.3703, ,-0.01292048341992485,0.0031776057994267696,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,th.diff,NT-NO - ST-NO,5.420175595771543e-4,0.9192, ,-0.007507027050098656,0.008591062169252964,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,th.diff,ST-CC - ST-NO,0.0054134563698261945,0.3214, ,-0.0026355882398496153,0.013462500979502004,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,VolumeW,NT-CC - NT-NO,0.20827683910791217,0.2166, ,-0.0373047448381702,0.45385842305399454,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,VolumeW,NT-CC - ST-CC,0.02898191864945021,0.859, ,-0.21659966529663216,0.2745635025955326,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,VolumeW,NT-CC - ST-NO,0.34940404636192945,0.0492,*,0.10382246241584708,0.5949856303080119,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,VolumeW,NT-NO - ST-CC,-0.17929492045846196,0.2835, ,-0.42487650440454433,0.06628666348762041,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,VolumeW,NT-NO - ST-NO,0.14112720725401728,0.3942, ,-0.10445437669206509,0.38670879120009966,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,VolumeW,ST-CC - ST-NO,0.32042212771247924,0.0679,.,0.07484054376639687,0.5660037116585617,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,wv.diff,NT-CC - NT-NO,0.09839115772008222,0.1121, ,0.010125559367434034,0.1866567560727304,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,wv.diff,NT-CC - ST-CC,0.04497109580266356,0.4485, ,-0.043294502549984626,0.13323669415531175,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,wv.diff,NT-CC - ST-NO,0.1043349071380203,0.0941,.,0.016069308785372105,0.19260050549066848,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,wv.diff,NT-NO - ST-CC,-0.05342006191741866,0.3703, ,-0.14168566027006685,0.03484553643522953,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,wv.diff,NT-NO - ST-NO,0.005943749417938071,0.9192, ,-0.08232184893471012,0.09420934777058626,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,wv.diff,ST-CC - ST-NO,0.05936381133535673,0.3214, ,-0.028901787017291458,0.14762940968800492,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
2,hMean,NT-CC - NT-NO,106.81975000000011,0.5736, ,-177.10919040066597,390.7486904006662,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,hMean,NT-CC - ST-CC,75.75574999999981,0.6888, ,-208.17319040066627,359.6846904006659,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,hMean,NT-CC - ST-NO,89.96749999999975,0.6348, ,-193.96144040066633,373.8964404006658,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,hMean,NT-NO - ST-CC,-31.064000000000306,0.8692, ,-314.9929404006664,252.86494040066577,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,hMean,NT-NO - ST-NO,-16.852250000000367,0.9288, ,-300.78119040066645,267.0766904006657,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,hMean,ST-CC - ST-NO,14.211749999999938,0.9399, ,-269.71719040066614,298.140690400666,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,th,NT-CC - NT-NO,0.011287336768899758,0.4595, ,-0.011428829185686697,0.03400350272348621,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,th,NT-CC - ST-CC,-0.0012308000200130231,0.935, ,-0.023946965974599478,0.021485365934573432,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,th,NT-CC - ST-NO,0.02410316705858806,0.1287, ,0.0013870011040016048,0.046819333013174515,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,th,NT-NO - ST-CC,-0.012518136788912781,0.4133, ,-0.035234302743499236,0.010198029165673674,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,th,NT-NO - ST-NO,0.012815830289688301,0.4026, ,-0.009900335664898154,0.035531996244274756,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,th,ST-CC - ST-NO,0.025333967078601083,0.112, ,0.002617801124014628,0.04805013303318754,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,th.diff,NT-CC - NT-NO,0.006121478961324867,0.2262, ,-0.001258584868440502,0.013501542791090235,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,th.diff,NT-CC - ST-CC,0.002619202481613049,0.5952, ,-0.004760861348152319,0.009999266311378418,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,th.diff,NT-CC - ST-NO,0.007129634262270472,0.1631, ,-2.504295674948965e-4,0.01450969809203584,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,th.diff,NT-NO - ST-CC,-0.0035022764797118175,0.4795, ,-0.010882340309477186,0.003877787350053551,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,th.diff,NT-NO - ST-NO,0.0010081553009456054,0.8371, ,-0.006371908528819763,0.008388219130710974,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,th.diff,ST-CC - ST-NO,0.004510431780657423,0.3658, ,-0.0028696320491079456,0.011890495610422791,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,VolumeW,NT-CC - NT-NO,0.11081899741213475,0.4595, ,-0.11220816902017472,0.3338461638444442,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,VolumeW,NT-CC - ST-CC,-0.012083986419940018,0.935, ,-0.23511115285224948,0.21094318001236945,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,VolumeW,NT-CC - ST-NO,0.23664473405716224,0.1287, ,0.013617567624852778,0.4596719004894717,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,VolumeW,NT-NO - ST-CC,-0.12290298383207476,0.4133, ,-0.34593015026438423,0.1001241826002347,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,VolumeW,NT-NO - ST-NO,0.1258257366450275,0.4026, ,-0.09720142978728197,0.34885290307733696,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,VolumeW,ST-CC - ST-NO,0.24872872047710226,0.112, ,0.025701554044792796,0.4717558869094117,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,wv.diff,NT-CC - NT-NO,0.06010063977559682,0.2262, ,-0.012356777877219033,0.13255805742841267,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,wv.diff,NT-CC - ST-CC,0.025715312564384807,0.5952, ,-0.046742105088431046,0.09817273021720066,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,wv.diff,NT-CC - ST-NO,0.06999870182282414,0.1631, ,-0.0024587158299917145,0.14245611947564,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,wv.diff,NT-NO - ST-CC,-0.03438532721121201,0.4795, ,-0.10684274486402787,0.03807209044160384,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,wv.diff,NT-NO - ST-NO,0.009898062047227318,0.8371, ,-0.06255935560558853,0.08235547970004317,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,wv.diff,ST-CC - ST-NO,0.04428338925843933,0.3658, ,-0.02817402839437652,0.11674080691125518,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
3,hMean,NT-CC - NT-NO,-27.991250000000036,0.7057, ,-139.29674007924223,83.31424007924215,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,hMean,NT-CC - ST-CC,-9.664000000000215,0.896, ,-120.9694900792424,101.64149007924198,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,hMean,NT-CC - ST-NO,-63.40800000000013,0.3982, ,-174.71349007924232,47.89749007924206,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
