 All cumulative fluxes (CumQ) are positive out of the region

       Time        CumQAP       CumQRP       CumQA        CumQR       CumQ3        hAtm       hRoot     hKode3    A-level
      [T]           [V]          [V]         [V]          [V]          [V]          [L]        [L]        [L] 

        1.0000  0.00000E+00  0.58529E+01  0.00000E+00  0.58529E+01 -0.12138E+02    -1007.1     -997.1     -314.1       1
        2.0000  0.00000E+00  0.81941E+01  0.00000E+00  0.81941E+01 -0.24277E+02    -1002.3     -991.3     -303.6       2
        3.0000  0.00000E+00  0.11706E+02  0.00000E+00  0.11706E+02 -0.36415E+02     -994.1     -985.9     -299.6       3
        4.0000  0.00000E+00  0.15218E+02  0.00000E+00  0.15218E+02 -0.48553E+02     -984.5     -980.4     -297.0       4
        5.0000  0.00000E+00  0.18729E+02  0.00000E+00  0.18729E+02 -0.72830E+02     -971.8     -968.6     -193.1       5
        6.0000  0.00000E+00  0.23412E+02  0.00000E+00  0.23407E+02 -0.65547E+03     -708.1     -770.4       -9.0       6
        7.0000  0.00000E+00  0.40970E+02  0.00000E+00  0.40934E+02 -0.12381E+04     -367.0     -572.8       -8.2       7
        8.0000  0.00000E+00  0.77258E+02  0.00000E+00  0.77130E+02 -0.18207E+04     -193.5     -440.1       -7.7       8
        9.0000  0.00000E+00  0.12876E+03  0.00000E+00  0.12851E+03 -0.24034E+04     -126.8     -351.5       -7.0       9
       10.0000  0.00000E+00  0.19549E+03  0.00000E+00  0.19522E+03 -0.24034E+04     -139.4     -325.6     -137.3      10
       11.0000  0.00000E+00  0.27392E+03  0.00000E+00  0.27364E+03 -0.24034E+04     -156.6     -321.2     -158.2      11
       12.0000  0.00000E+00  0.36054E+03  0.00000E+00  0.36027E+03 -0.24034E+04     -176.4     -329.3     -182.9      12
       13.0000  0.00000E+00  0.44716E+03  0.00000E+00  0.44689E+03 -0.24034E+04     -196.5     -342.5     -208.4      13
       14.0000  0.00000E+00  0.53262E+03  0.00000E+00  0.53234E+03 -0.24034E+04     -217.6     -358.7     -235.0      14
       15.0000  0.00000E+00  0.60051E+03  0.00000E+00  0.60024E+03 -0.24034E+04     -235.9     -373.4     -256.3      15
       16.0000  0.00000E+00  0.63212E+03  0.00000E+00  0.63184E+03 -0.24034E+04     -248.5     -383.2     -262.7      16
       17.0000  0.00000E+00  0.66372E+03  0.00000E+00  0.66345E+03 -0.24034E+04     -260.6     -392.5     -274.6      17
       18.0000  0.00000E+00  0.69650E+03  0.00000E+00  0.69622E+03 -0.24034E+04     -273.1     -403.4     -290.4      18
       19.0000  0.00000E+00  0.71523E+03  0.00000E+00  0.71495E+03 -0.24034E+04     -282.4     -411.4     -298.2      19
       20.0000  0.00000E+00  0.72693E+03  0.00000E+00  0.72666E+03 -0.24034E+04     -292.5     -418.3     -303.9      20
